Merkki,Vuosi,Ajettu,Hinta,Date
Make & model|Year|Mileage|Price|Sold date,Year,Mileage,Price,Sold date
Lexus CT (1.8) 200h Executive #Nahkasisusta #Kattoluukku #Mark&Levinson #Bi-xenon #Vakkari #Keyless|2011|195 000|13 900 €|12-2021,2011,195 000,13 900 €,12-2021
Make & model|Year|Mileage|Price|Sold date,Year,Mileage,Price,Sold date
Lexus CT (1.8) 200h Hybrid A Comfort (MY12)|2012|148 000|Not priced|00-0000,2012,148 000,Not priced,00-0000
Lexus CT (1.8)|2012|115 000|18 000 €|00-0000,2012,115 000,18 000 €,00-0000
Lexus CT (1.8) 200h Hybrid A Comfort *Navigointi- ja audiopaketti*|2012|48 000|17 500 €|06-2021,2012,48 000,17 500 €,06-2021
"Lexus CT (1.8) 200h Hybrid A Comfort - **Korkotarjous 1,59%+kulut**Toimitusmahdollisuus koko Suomeen** - **100% Lex|2012|136 000|13 490 €|06-2021",2012,136 000,13 490 €,06-2021
Lexus CT (1.8) 200h Hybrid A Luxury|2012|72 500|16 980 €|10-2021,2012,72 500,16 980 €,10-2021
Lexus CT (1.8) 200h Hybrid A Comfort|2012|117 000|12 800 €|07-2021,2012,117 000,12 800 €,07-2021
"Lexus CT (1.8) 200h Hybrid A E / PERUUTUSKAMERA / *** Korkotarjous 1% + kulut, ensimmäinen erä 3kk päästä|2012|93 000|13 480 €|07-2021",2012,93 000,13 480 €,07-2021
Lexus CT (1.8)|2012|183 000|10 900 €|08-2021,2012,183 000,10 900 €,08-2021
Lexus CT (1.8) 200h Hybrid A E - * Lohkolämmitin + sis. pistoke / Juuri huollettu *|2012|126 000|13 490 €|07-2021,2012,126 000,13 490 €,07-2021
Lexus CT (1.8) 200h Hybrid A Comfort **  Helmiäisvalkoinen / Suomi-auto / Merkkihuollettu **|2012|97 000|15 790 €|07-2021,2012,97 000,15 790 €,07-2021
Lexus CT (1.8) 200h Hybrid A Comfort / Vakkari / Ilmastoitu / Bluetooth /|2012|126 000|13 800 €|07-2021,2012,126 000,13 800 €,07-2021
Lexus CT (1.8) 200h Hybrid A E / Suomiauto / Lohko+sisäpistoke / 2xrenkaat|2012|200 000|10 990 €|06-2021,2012,200 000,10 990 €,06-2021
Lexus CT (1.8) 200h Hybrid A Luxury|2012|170 000|12 900 €|06-2021,2012,170 000,12 900 €,06-2021
Lexus CT (1.8) 200h Hybrid *KEYLESSGO *ALCANTARA *BLUETOOTH *LOHKOLÄMMITIN NÄPPÄRÄ LEXUS!|2012|99 600|14 490 €|09-2021,2012,99 600,14 490 €,09-2021
Lexus CT (1.8)|2012|223 000|8 500 €|08-2021,2012,223 000,8 500 €,08-2021
Lexus CT (1.8) 200h Hybrid A Luxury|2012|130 000|14 900 €|06-2021,2012,130 000,14 900 €,06-2021
Lexus CT (1.8)|2012|138 000|13 750 €|08-2021,2012,138 000,13 750 €,08-2021
Lexus CT (1.8) 200h Hybrid A Comfort ** Suomi-auto / P-kamera / Vakkari / Bluetooth **|2012|123 000|13 800 €|07-2021,2012,123 000,13 800 €,07-2021
Lexus CT (1.8) 200h Hybrid A Comfort / Suomi-auto / Peruutuskamera / Lohkolämmitin /|2012|148 000|13 770 €|08-2021,2012,148 000,13 770 €,08-2021
Lexus CT (1.8)|2012|158 000|10 990 €|07-2021,2012,158 000,10 990 €,07-2021
Lexus CT (1.8) 200h Hybrid A Executive / Nahkasisusta / Peruutuskamera / LED-päiväajovalot /|2012|164 000|12 750 €|08-2021,2012,164 000,12 750 €,08-2021
"Lexus CT (1.8) 200h Hybrid A Executive - **Korkotarjous 1,59%+kulut**Toimitusmahdollisuus koko Suomeen** - *Huoltok|2012|172 905|11 890 €|07-2021",2012,172 905,11 890 €,07-2021
Lexus CT (1.8) F Sport 200h Hybrid|2012|101 000|16 890 €|10-2021,2012,101 000,16 890 €,10-2021
Lexus CT (1.8)|2012|168 000|10 500 €|08-2021,2012,168 000,10 500 €,08-2021
Lexus CT (1.8) 200h Hybrid A E #Vaaleetanahkaa #Navi #Peruutuskamera #Vakkari|2012|139 000|13 800 €|10-2021,2012,139 000,13 800 €,10-2021
Lexus CT (1.8) 200h Hybrid A F Sport|2012|133 000|14 980 €|09-2021,2012,133 000,14 980 €,09-2021
Lexus CT (1.8) Lexus CT200h / Hybridi / Vaihto ja Rahoitus / kotiinToimitus /|2012|118 000|15 900 €|10-2021,2012,118 000,15 900 €,10-2021
"Lexus CT (1.8) 200h Hybrid A E, *AJ. 139TKM, 100% MERKKIHUOLLETTU. ERITTÄIN SIISTI* RUOSTESUOJATTU! JOPA ILMAN KÄSIRAHAA|2012|139 000|14 890 €|09-2021",2012,139 000,14 890 €,09-2021
Lexus CT (1.8)|2012|136 810|15 600 €(incl. VAT)|11-2021,2012,136 810,15 600 €(incl. VAT),11-2021
Lexus CT (1.8) 200h Hybrid A E|2012|163 000|12 900 €|10-2021,2012,163 000,12 900 €,10-2021
Lexus CT (1.8) 200h Hybrid A Comfort|2012|103 000|13 900 €|10-2021,2012,103 000,13 900 €,10-2021
"Lexus CT (1.8) 200h Hybrid A Comfort # Varmatoiminen Lexus hybrid juuri huollettuna # Helmiäis valkoinen, Kamera, Isofix, Vakkari #|2012|255 000|9 990 €|10-2021",2012,255 000,9 990 €,10-2021
Lexus CT (1.8) 200h Hybrid A Comfort|2012|118 000|13 990 €|10-2021,2012,118 000,13 990 €,10-2021
Lexus CT (1.8) 200h Hybrid A F Sport ** Hieno F-Sport Lexus / Suomi-auto / Merkkihuollettu! **|2012|138 000|16 790 €|12-2021,2012,138 000,16 790 €,12-2021
Lexus CT (1.8) 200h Hybrid A Luxury ** Nahkaverhoilu / Navi / Kamera ym. **|2012|110 000|16 990 €|11-2021,2012,110 000,16 990 €,11-2021
"Lexus CT (1.8) 200h Hybrid A Executive - ""!!! 0 KORKO 0, HULLU BLACK WEEK !!!""|2012|89 000|16 450 €|11-2021",2012,89 000,16 450 €,11-2021
Make & model|Year|Mileage|Price|Sold date,Year,Mileage,Price,Sold date
Lexus CT (1.8) 200h Hybrid A F Sport (MY13.A)|2013|137 500|18 800 €|00-0000,2013,137 500,18 800 €,00-0000
Lexus CT (1.8)|2013|130 000|18 000 €|00-0000,2013,130 000,18 000 €,00-0000
"Lexus CT (1.8) 200h Hybrid A Comfort # Uudet talvirenkaat, # Kamera, Vakkari, Lohkari #|2013|142 000|12 700 €|06-2021",2013,142 000,12 700 €,06-2021
"Lexus CT (1.8) 200h Hybrid A F Sport / Lohkol. + sisäp. *** Korkotarjous 1% + kulut, ensimmäinen erä 3kk päästä|2013|186 000|12 790 €|07-2021",2013,186 000,12 790 €,07-2021
Lexus CT (1.8) 200h Hybrid A E /  Alcantara / Vakkari / Ev-Mode / Aut-Ilmastointi /|2013|91 000|15 300 €|06-2021,2013,91 000,15 300 €,06-2021
Lexus CT (1.8) 200h Hybrid A Luxury|2013|79 000|19 880 €|06-2021,2013,79 000,19 880 €,06-2021
"Lexus CT (1.8) 200h Hybrid A Executive NAVI (MY13) *LYÖMÄTTÖMÄT X-EDUT! Korko alk. 0,99%!!* SUOJELE LUMILEOPARDIA*|2013|68 000|18 890 €|08-2021",2013,68 000,18 890 €,08-2021
"Lexus CT (1.8) 200h Hybrid A Comfort - **Korkotarjous 1,59%+kulut**Toimitusmahdollisuus koko Suomeen** -|2013|134 000|13 900 €|06-2021",2013,134 000,13 900 €,06-2021
Lexus CT (1.8) 200h Hybrid A E ** Vakkari / P-kamera / Nahkasisusta / AUX **|2013|175 000|12 700 €|08-2021,2013,175 000,12 700 €,08-2021
"Lexus CT (1.8) 200h Hybrid A F Sport *** Korkotarjous 1% + kulut, ensimmäinen erä 3kk päästä|2013|186 000|12 780 €|08-2021",2013,186 000,12 780 €,08-2021
"Lexus CT (1.8) AJETTU VAIN 136tkm, hyvin huollettu, Rahoitus / Vaihto|2013|136 000|13 700 €|08-2021",2013,136 000,13 700 €,08-2021
Lexus CT (1.8)|2013|110 072|16 400 €|10-2021,2013,110 072,16 400 €,10-2021
Lexus CT (1.8) 200h Hybrid A Comfort (MY13)|2013|170 000|12 800 €|09-2021,2013,170 000,12 800 €,09-2021
Lexus CT (1.8) 200h Hybrid A F Sport #BC-Racing #JapanRacing #P-kamera #Vakkari #Bluetooth #Suomi-Auto|2013|102 000|16 890 €|10-2021,2013,102 000,16 890 €,10-2021
Make & model|Year|Mileage|Price|Sold date,Year,Mileage,Price,Sold date
Lexus CT (1.8) 200h Hybrid A Esteem #Merkkihuollettu Suomi-Auto #Nahat|2014|74 000|17 400 €|06-2021,2014,74 000,17 400 €,06-2021
Lexus CT (1.8) 200h Hybrid / Navi / Alcantara penkit / P.Kamera / Avaimeton käynnistys / Vakkari /|2014|67 000|17 810 €|08-2021,2014,67 000,17 810 €,08-2021
"Lexus CT (1.8) 200H F-SPORT, Navi, peruutuskamera, Ikkunan tummennukset, ym. 24 tkm! Rahoitus ilman käsirahaa.|2014|24 000|21 490 €|07-2021",2014,24 000,21 490 €,07-2021
Lexus CT (1.8) 200h Hybrid A Executive / Alcantara / Peruutuskamera / Cruise / BT-audio /|2014|78 400|17 790 €|09-2021,2014,78 400,17 790 €,09-2021
Lexus CT (1.8) 200h Hybrid A Executive ** Juuri tullut / Navi / Lohko **|2014|54 000|17 900 €|07-2021,2014,54 000,17 900 €,07-2021
Lexus CT (1.8)|2014|149 500|16 500 €|09-2021,2014,149 500,16 500 €,09-2021
"Lexus CT (1.8) 200h Hybrid A Executive - SUOMI-AUTO, MERKKIHUOLTOKIRJA, SIISTI YKSILÖ|2014|122 000|17 800 €|07-2021",2014,122 000,17 800 €,07-2021
Lexus CT (1.8) 200h Hybrid A Esteem (MY14)|2014|159 000|14 900 €|08-2021,2014,159 000,14 900 €,08-2021
"Lexus CT (1.8) 200H F-Sport Black Edition, Huippuvarusteet ! Korko 0,99%|2014|24 000|21 900 €|07-2021",2014,24 000,21 900 €,07-2021
"Lexus CT (1.8) 200H F-Sport Black Edition, Huippuvarusteet ! Korko 0,99%|2014|24 000|21 900 €|07-2021",2014,24 000,21 900 €,07-2021
Lexus CT (1.8) 200h Hybrid A Comfort Business **Vakkari / Alcantara-verhoilu / Lexus Park Assist / Mirrorlink **|2014|90 000|17 500 €|08-2021,2014,90 000,17 500 €,08-2021
Lexus CT (1.8) 200h Hybrid A F-Sport *Kamera* Navi* Xenon*|2014|127 000|18 950 €|09-2021,2014,127 000,18 950 €,09-2021
Lexus CT (1.8) 200h Hybrid A Esteem - Katso Automessutarjoukset rinta-jouppi.com|2014|141 000|15 480 €|10-2021,2014,141 000,15 480 €,10-2021
Lexus CT (1.8) 200h Hybrid / Suomi-Auto / Ruskeat nahat / Uusi tuulilasi / Tutkat / Helmiäisväri / Juuri katsastettu /|2014|55 000|19 670 €|10-2021,2014,55 000,19 670 €,10-2021
Lexus CT (1.8)|2014|53 000|19 480 €|11-2021,2014,53 000,19 480 €,11-2021
Lexus CT (1.8) LEXUS CT200H / Hyvin huollettu / Siisti! /|2014|82 000|18 900 €|11-2021,2014,82 000,18 900 €,11-2021
Make & model|Year|Mileage|Price|Sold date,Year,Mileage,Price,Sold date
Lexus CT (1.8)|2015|99 000|19 900 €(incl. VAT)|07-2021,2015,99 000,19 900 €(incl. VAT),07-2021
Lexus CT (1.8) 200h Hybrid A Comfort Business (MY14.B)|2015|124 412|16 200 €|10-2021,2015,124 412,16 200 €,10-2021
Lexus CT (1.8) 200h Hybrid A Comfort|2015|85 000|17 900 €|07-2021,2015,85 000,17 900 €,07-2021
Lexus CT (1.8) 200h Hybrid A Comfort Business ** Suomi-auto **|2015|76 000|18 980 €|06-2021,2015,76 000,18 980 €,06-2021
"Lexus CT (1.8) Korko 0,99%**200h Hybrid A**|2015|132 362|17 900 €|06-2021",2015,132 362,17 900 €,06-2021
"Lexus CT (1.8) 200h Hybrid A Comfort Business - Peruutuskamera, Bluetooth|2015|184 000|14 800 €|07-2021",2015,184 000,14 800 €,07-2021
Lexus CT (1.8) 200h Hybrid A Black Style // Navigointi / Peruutuskamera / Nahka-Alcantara //|2015|82 150|17 390 €|08-2021,2015,82 150,17 390 €,08-2021
Lexus CT (1.8) 200h Hybrid A F Sport #Vähän Ajettu #Juuri Huollettu #Näyttävä F Sport|2015|63 000|18 800 €|08-2021,2015,63 000,18 800 €,08-2021
Lexus CT (1.8) 200h Hybrid A Comfort Business ** Helmiäisvalkoinen Suomi-auto  **|2015|92 000|18 490 €|09-2021,2015,92 000,18 490 €,09-2021
Lexus CT (1.8) 200h Comfort 1.8 CVT|2015|28 510|22 390 €|08-2021,2015,28 510,22 390 €,08-2021
Lexus CT (1.8) 200h Hybrid A Executive / Webasto kauko-ohjauksella / Peruutuskamera / Vakionopeudensäädin|2015|123 000|17 200 €|10-2021,2015,123 000,17 200 €,10-2021
"Lexus CT (1.8) Executive, Keyles, Lohkolämmitin, Navi, Peruutuskamera ym..|2015|152 000|15 690 €|08-2021",2015,152 000,15 690 €,08-2021
Lexus CT (1.8) 200h Hybrid A Comfort Business|2015|122 000|15 400 €|08-2021,2015,122 000,15 400 €,08-2021
Lexus CT (1.8) 200h Hybrid A Comfort Business / Merkkihuollettu / Peruutuskamera / Keyless /|2015|74 000|19 790 €|11-2021,2015,74 000,19 790 €,11-2021
"Lexus CT (1.8) 200h Hybrid A Comfort Business ***  Kotiinkuljetus mahdollisuus, kysy lisää myyjältä.|2015|90 000|18 980 €|10-2021",2015,90 000,18 980 €,10-2021
Lexus CT (1.8) 200h Hybrid A Comfort Business|2015|77 000|19 690 €|10-2021,2015,77 000,19 690 €,10-2021
Lexus CT (1.8)|2015|98 161|19 500 €|11-2021,2015,98 161,19 500 €,11-2021
Lexus CT (1.8) 200 h Hybrid A Sport Business / Led-Ajovalot / Peruutuskamera / Metalliväri|2015|86 000|20 700 €|11-2021,2015,86 000,20 700 €,11-2021
Lexus CT (1.8) 200h Hybrid A Comfort Business|2015|98 353|19 490 €|11-2021,2015,98 353,19 490 €,11-2021
Lexus CT (1.8) 200h Hybrid A Comfort / Ajotilanvalitsin / vakionopeudensäädin / Peruutuskamera|2015|92 000|18 900 €|11-2021,2015,92 000,18 900 €,11-2021
Lexus CT (1.8)|2015|98 353|18 000 €|11-2021,2015,98 353,18 000 €,11-2021
Make & model|Year|Mileage|Price|Sold date,Year,Mileage,Price,Sold date
"Lexus CT (1.8) 200h Hybrid A Privilege *LED-AJOVALOT, NAHKAT, NAVI, MARK LEVINSON-AUDIO YMS.*|2016|98 000|20 890 €(incl. VAT)|06-2021",2016,98 000,20 890 €(incl. VAT),06-2021
Lexus CT (1.8) 200h Hybrid A Comfort Business / Navi / Alcantara / BT / Xenon /|2016|67 000|17 900 €|06-2021,2016,67 000,17 900 €,06-2021
"Lexus CT (1.8) 200h Black Edition **NAVI, KESSY, NAHKA-ALCANTARA, MERKKIHUOLLETTU*|2016|63 000|20 900 €|07-2021",2016,63 000,20 900 €,07-2021
Lexus CT (1.8)|2016|70 000|19 990 €|07-2021,2016,70 000,19 990 €,07-2021
Lexus CT (1.8) 200h Hybrid A Comfort Business / Vakkari / Suomi-auto / Ledit / Peruutuskamera / BT /|2016|86 000|17 800 €|08-2021,2016,86 000,17 800 €,08-2021
Lexus CT (1.8) 200h Hybrid A Comfort Business ** Suomi-auto **|2016|92 000|19 490 €|08-2021,2016,92 000,19 490 €,08-2021
Lexus CT (1.8)|2016|47 000|20 900 €(incl. VAT)|09-2021,2016,47 000,20 900 €(incl. VAT),09-2021
Lexus CT (1.8) 200h Hybrid A Comfort Business ** Suomi-auto **|2016|142 000|17 890 €|11-2021,2016,142 000,17 890 €,11-2021
Lexus CT (1.8) 200h Hybrid A Comfort Business|2016|81 000|19 780 €|11-2021,2016,81 000,19 780 €,11-2021
"Lexus CT (1.8) 200h Hybrid A Comfort Business, Juuri Huollettu, Tutkat Edessä ja Takana, Moottorin- ja Sisätilanlämmitin|2016|80 000|19 890 €|11-2021",2016,80 000,19 890 €,11-2021
Lexus CT (1.8) 200h Hybrid Sport  / Cruise / Nahka-Alcantara / Navigointi / Peruutuskamera|2016|105 000|18 900 €|12-2021,2016,105 000,18 900 €,12-2021
Make & model|Year|Mileage|Price|Sold date,Year,Mileage,Price,Sold date
Lexus CT (1.8) 200h F Sport Black Edition / KATSOKAA HINTAA  / Peruutuskamera / Nahka-Alcantara / BT-Audio / 2X Renkaat /|2017|23 000|23 800 €|07-2021,2017,23 000,23 800 €,07-2021
Lexus CT (1.8) 200h Hybrid A Comfort -NAVI-TUTKAT-PKAMERA-KOTIINKULJETUS!-|2017|54 000|19 900 €|07-2021,2017,54 000,19 900 €,07-2021
Lexus CT (1.8) 200h CT Black Street // Peruutuskamera / Navigointi / Cruise //|2017|78 000|19 880 €|07-2021,2017,78 000,19 880 €,07-2021
Lexus CT (1.8) 200h Hybrid Aut // Navigointi / Nahkaverhoilu / Peruutuskamera / Keyless|2017|61 000|20 400 €|09-2021,2017,61 000,20 400 €,09-2021
Lexus CT (1.8) 200h Hybrid A F Sport|2017|55 000|24 890 €|08-2021,2017,55 000,24 890 €,08-2021
Lexus CT (1.8) 200h Hybrid A Black Edition / Navigointi / Keyless / Peruutuskamera / Nahka/alcantara / Juuri katsastettu ja huollettu /|2017|60 000|20 888 €|09-2021,2017,60 000,20 888 €,09-2021
Lexus CT (1.8) 200h Hybrid A ** Navi / Kamera / Vakkari / Xenon / Helmiäisvalkoinen **|2017|53 000|20 890 €|10-2021,2017,53 000,20 890 €,10-2021
Lexus CT (1.8) 200h Hybrid A Comfort ** Suomi-auto / Met.musta / Nahkaverhoilu / Hieno **|2017|60 000|22 980 €|10-2021,2017,60 000,22 980 €,10-2021
Lexus CT (1.8) 200h Hybrid A Comfort #JuuriTullut #Navi #Nahat #Vakkari|2017|76 000|22 890 €|10-2021,2017,76 000,22 890 €,10-2021
Lexus CT (1.8) 200h Executive // Lohkolämmitin sisälämmittimellä /  Merkkihuollettu / Navigointi / Akkutesti   //|2017|52 000|20 900 €|11-2021,2017,52 000,20 900 €,11-2021
Lexus CT (1.8) 200h Hybrid A Comfort|2017|41 000|22 900 €|11-2021,2017,41 000,22 900 €,11-2021
"Lexus CT (1.8) 200h 1.8 CVT, 136hv F-Sport|2017|36 220|25 200 €|12-2021",2017,36 220,25 200 €,12-2021
Make & model|Year|Mileage|Price|Sold date,Year,Mileage,Price,Sold date
Lexus CT (1.8) 200h Comfort|2018|38 000|25 880 €|06-2021,2018,38 000,25 880 €,06-2021
Lexus CT (1.8) 200h Comfort *Teknologia-paketti / 1 omistaja / Suomi-auto*|2018|22 000|26 800 €|06-2021,2018,22 000,26 800 €,06-2021
"Lexus CT (1.8) 200h Executive *Tähän autoon 1.89% korko!* - ""Hullut avajaistarjoukset!""|2018|21 000|24 300 €|07-2021",2018,21 000,24 300 €,07-2021
"Lexus CT (1.8) Lexus CT 200h Comfort (MY18) *korkotarjous 1,9%+kulut*|2018|31 000|23 900 €|08-2021",2018,31 000,23 900 €,08-2021
"Lexus CT (1.8) 200h Comfort - Korko 1,99% + kulut|2018|37 000|24 790 €|07-2021",2018,37 000,24 790 €,07-2021
Lexus CT (1.8)|2018|80 156|22 499 €(Tax free)|07-2021,2018,80 156,22 499 €(Tax free),07-2021
Lexus CT (1.8) 200h Comfort|2018|46 000|25 880 €|08-2021,2018,46 000,25 880 €,08-2021
Lexus CT (1.8) 200h Comfort ** 1-Omisteinen / Suomi-auto / Navi / Teknologia paketti ym. **|2018|34 000|25 490 €|07-2021,2018,34 000,25 490 €,07-2021
"Lexus CT (1.8) 200h Executive - Facelift, Adaptiivinen vakkari, LED-Ajovalot, Peruutuskamera, Navigointi, Täydellinen merkkiliikkeen hu|2018|41 000|23 900 €|11-2021",2018,41 000,23 900 €,11-2021
Lexus CT (1.8) 200h // Adapt.Cruise / Navigointi / Peruutuskamera //|2018|31 000|25 420 €|10-2021,2018,31 000,25 420 €,10-2021
Lexus CT (1.8) 200h Comfort|2018|61 000|23 900 €|10-2021,2018,61 000,23 900 €,10-2021
Lexus CT (1.8)|2018|80 156|22 499 €(Tax free)|10-2021,2018,80 156,22 499 €(Tax free),10-2021
Lexus CT (1.8) 200h Comfort ** 1-Omisteinen / Suomi-auto / Navi ym. Hieno!!**|2018|35 000|25 890 €|09-2021,2018,35 000,25 890 €,09-2021
Lexus CT (1.8) 200h Executive // LEDIT / KATTOLUUKKU / NAVI //|2018|33 000|23 990 €|09-2021,2018,33 000,23 990 €,09-2021
Lexus CT (1.8) 200h Hybrid A Comfort (MY17)|2018|31 000|22 900 €|11-2021,2018,31 000,22 900 €,11-2021
Lexus CT (1.8) 200h Hybrid A *Black Street* NAVI* KEYLESS* PERUUTUSKAMERA* NAHKA/ALCANTARA / 1-om. ja merkkihuollettu*|2018|97 000|20 790 €|11-2021,2018,97 000,20 790 €,11-2021
Lexus CT (1.8) 200h F Sport S / Peruutuskamera / Adaptiivinen vakkari / Kaistavahti|2018|72 760|24 880 €(incl. VAT)|10-2021,2018,72 760,24 880 €(incl. VAT),10-2021
Lexus CT (1.8) 200h F Sport S ** Suomi-auto / Lexus Select turva 12kk ilman km rajaa sis. hintaan **|2018|40 000|27 990 €|11-2021,2018,40 000,27 990 €,11-2021
Make & model|Year|Mileage|Price|Sold date,Year,Mileage,Price,Sold date
Lexus CT (1.8) 200h Comfort / Suomiauto|2019|4 386|28 800 €(incl. VAT)|07-2021,2019,4 386,28 800 €(incl. VAT),07-2021
