description,city,district,street,latitude,longitude,date,price,SQ,price_meter,rooms,sauna
block of flats,Espoo,Niittymaa,Malmiportti4A,60.20956,24.65104,Available from 12/1/21,785.00,30.00,26.17,1h,no_sauna
block of flats,Espoo,Espoonlahti,Ruorikuja2,62.221866,25.856023,Available immediately,690.00,33.00,20.91,1h,no_sauna
block of flats,Espoo,Kivenlahti,Aallonhuippu7A,60.15724,24.641398,Available from 12/1/21,580.00,39.50,14.68,1h,no_sauna
block of flats,Espoo,Haukilahti,Hauenkalliontie8D,60.162013,24.770501,Available immediately,695.00,25.60,27.15,1h,no_sauna
block of flats,Espoo,Pohjois-Tapiola,Visamäki5D,60.188225,24.785047,Available immediately,678.00,29.50,22.98,1h,no_sauna
block of flats,Espoo,Lähderanta,Lähderanta20E,60.240162,24.741567,Available immediately,599.00,27.00,22.19,1h,no_sauna
block of flats,Espoo,Leppävaara,Postipuuntie1A,60.22063,24.809466,Available immediately,699.00,33.00,21.18,1h,no_sauna
block of flats,Espoo,Matinkylä,Sepetlahdentie14D,60.152174,24.741726,Available immediately,635.00,30.00,21.17,1h,no_sauna
block of flats,Espoo,Saunalahti,Kummelivuorentie15C,60.164649,24.620009,Available from 1/1/22,690.00,27.50,25.09,1h,no_sauna
block of flats,Espoo,Mäkkylä,Sotarovastintie9B,60.225107,24.840632,Available immediately,668.00,33.00,20.24,1h,no_sauna
block of flats,Espoo,Matinkylä,Matinniitynkuja6B,60.15889,24.743519,Available from 12/1/21,758.10,30.00,25.27,1h,no_sauna
block of flats,Espoo,Olari,Kuvastimentie1G,60.167557,24.735159,Available immediately,800.00,36.50,21.92,1h,no_sauna
block of flats,Espoo,Westend,Alalinnake1E45,60.20956,24.65104,Available from 12/1/21,760.00,28.00,27.14,1h,no_sauna
block of flats,Espoo,Leppävaara,Ruutikatu8,60.22063,24.809466,Available from 1/1/22,680.00,28.50,23.86,1h,no_sauna
block of flats,Espoo,Vesirattaanmäki,Vesirattaanmäki1A,60.227324,24.666557,Available from 1/1/22,661.00,30.00,22.03,1h,no_sauna
block of flats,Espoo,Vesirattaanmäki,Vesirattaanmäki1A,60.227324,24.666557,Available from 1/1/22,676.00,33.50,20.18,1h,no_sauna
block of flats,Espoo,Vesirattaanmäki,Vesirattaanmäki1A,60.227324,24.666557,Available immediately,667.00,33.50,19.91,1h,no_sauna
block of flats,Espoo,Espoonkeskus,Kiltakuja1,60.199496,24.65491,Available immediately,874.00,38.00,23.00,1h,sauna
block of flats,Espoo,Kilo,Trillakatu2,60.216899,24.785207,Available from 12/15/21,503.76,36.00,13.99,1h,sauna
block of flats,Espoo,Matinkylä,Nelikkotie2,60.161998,24.740475,Available from 12/13/21,833.00,41.00,20.32,1h,sauna
block of flats,Espoo,Suvela,Sokinsuontie7,60.199618,24.670474,Available from 12/16/21,453.13,37.00,12.25,1h,sauna
block of flats,Espoo,Tapiola,Jousenpuistonkatu3,60.175487,24.803185,Available immediately,820.00,28.00,29.29,1h,no_sauna
block of flats,Espoo,Matinkylä,Kaisankuja1A,61.12302,22.138648,,790.00,33.50,23.58,1h,no_sauna
