description,city,district,street,latitude,longitude,date,price,SQ,price_meter,rooms,sauna
block of flats,Espoo,Espoonlahti,Kipparinkatu4A,62.84952,27.703385,Available from 1/1/22,750.00,29.50,25.42,1h,no_sauna
block of flats,Espoo,Kivenlahti,Marinportti3,60.15724,24.641398,Available immediately,660.00,32.50,20.31,1h,no_sauna
block of flats,Espoo,Niittykumpu,Niittykummuntie4A,60.172015,24.764398,Available on agreement,774.00,32.50,23.82,1h,no_sauna
block of flats,Espoo,Niittykumpu,Niittykummuntie4A,60.172015,24.764398,Available on agreement,779.00,32.50,23.97,1h,no_sauna
block of flats,Espoo,Niittykumpu,Niittykummuntie4A,60.172015,24.764398,Available on agreement,784.00,33.00,23.76,1h,no_sauna
block of flats,Espoo,Niittykumpu,Niittykummuntie4A,60.172015,24.764398,Available on agreement,789.00,32.50,24.28,1h,no_sauna
block of flats,Espoo,Niittykumpu,Niittykummuntie4A,60.172015,24.764398,Available on agreement,789.00,33.00,23.91,1h,no_sauna
block of flats,Espoo,Niittykumpu,Niittykummuntie4A,60.172015,24.764398,Available on agreement,793.00,32.50,24.40,1h,no_sauna
block of flats,Espoo,Niittykumpu,Niittykummuntie4A,60.172015,24.764398,Available on agreement,798.00,32.50,24.55,1h,no_sauna
block of flats,Espoo,Niittykumpu,Niittykummuntie4A,60.172015,24.764398,Available on agreement,798.00,33.00,24.18,1h,no_sauna
block of flats,Espoo,Niittykumpu,Niittykummuntie4A,60.172015,24.764398,Available on agreement,799.00,32.50,24.58,1h,no_sauna
block of flats,Espoo,Niittykumpu,Niittykummuntie4A,60.172015,24.764398,Available on agreement,799.00,33.00,24.21,1h,no_sauna
block of flats,Espoo,Niittykumpu,Niittykummuntie4A,60.172015,24.764398,Available on agreement,799.00,34.50,23.16,1h,no_sauna
block of flats,Espoo,Niittykumpu,Niittykummuntie4A,60.172015,24.764398,Available on agreement,810.00,32.50,24.92,1h,no_sauna
block of flats,Espoo,Niittykumpu,Niittykummuntie4A,60.172015,24.764398,Available on agreement,810.00,33.00,24.55,1h,no_sauna
block of flats,Espoo,Niittykumpu,Niittykummuntie4A,60.172015,24.764398,Available on agreement,815.00,33.00,24.70,1h,no_sauna
block of flats,Espoo,Niittykumpu,Niittykummuntie4A,60.172015,24.764398,Available on agreement,835.00,33.00,25.30,1h,no_sauna
block of flats,Espoo,Niittykumpu,Niittykummuntie4A,60.172015,24.764398,Available on agreement,840.00,33.00,25.45,1h,no_sauna
block of flats,Espoo,Saunalahti,Reelinkikatu4B50,60.20956,24.65104,Available from 3/1/22,526.14,33.00,15.94,1h,no_sauna
block of flats,Espoo,Sepänkylä,Peuraniitty1,60.20956,24.65104,Available immediately,750.00,31.50,23.81,1h,no_sauna
block of flats,Espoo,Vermonniitty,KaarloSarkiankatu10C,60.214496,24.832756,Available from 1/1/22,810.00,31.50,25.71,1h,no_sauna
block of flats,Espoo,Vermonniitty,KaarloSarkiankatu10C,60.214496,24.832756,Available from 12/1/21,795.00,31.50,25.24,1h,no_sauna
block of flats,Espoo,Vermonniitty,KaarloSarkiankatu10C,60.214496,24.832756,Available from 12/1/21,820.00,31.50,26.03,1h,no_sauna
block of flats,Espoo,Vermonniitty,KaarloSarkiankatu10C,60.214496,24.832756,Available immediately,790.00,31.50,25.08,1h,no_sauna
block of flats,Espoo,Vermonniitty,KaarloSarkiankatu10C,60.214496,24.832756,Available immediately,800.00,31.50,25.40,1h,no_sauna
block of flats,Espoo,Vermonniitty,KaarloSarkiankatu10C,60.214496,24.832756,Available immediately,820.00,31.50,26.03,1h,no_sauna
block of flats,Espoo,Olari,Puolikuu5F,60.167557,24.735159,Available immediately,750.00,33.50,22.39,1h,no_sauna
block of flats,Espoo,Kivenlahti,Marinportti5,60.15724,24.641398,Available from 1/1/22,780.00,33.00,23.64,1h,no_sauna
block of flats,Espoo,Espoonkeskus,Suviniitynkatu1,60.205267,24.663774,,695.00,29.50,23.56,1h,no_sauna
block of flats,Espoo,Espoonkeskus,Suviniitynkatu1,60.205267,24.663774,Available from 12/1/21,753.00,30.00,25.10,1h,no_sauna
block of flats,Espoo,Espoonkeskus,Suviniitynkatu1,60.205267,24.663774,Available immediately,695.00,29.50,23.56,1h,no_sauna
block of flats,Espoo,Espoonkeskus,Suviniitynkatu1,60.205267,24.663774,Available immediately,750.00,35.00,21.43,1h,no_sauna
block of flats,Espoo,Espoonkeskus,Suviniitynkatu1,60.205267,24.663774,Available immediately,765.00,42.00,18.21,1h,no_sauna
block of flats,Espoo,Saunalahti,Linjaloistonkatu5,60.20956,24.65104,Available from 1/3/22,707.00,30.50,23.18,1h,no_sauna
block of flats,Espoo,Vermonniitty,KaarloSarkiankatu8,60.213992,24.83324,Available from 12/1/21,650.00,32.00,20.31,1h,no_sauna
block of flats,Espoo,Vermonniitty,KaarloSarkiankatu8,60.213992,24.83324,Available immediately,650.00,32.00,20.31,1h,no_sauna
block of flats,Espoo,Kivenlahti,Marinportti4A,60.15724,24.641398,Available on agreement,885.00,33.50,26.42,1h,no_sauna
block of flats,Espoo,Kivenlahti,Marinportti4A,60.15724,24.641398,Available on agreement,890.00,33.50,26.57,1h,no_sauna
block of flats,Espoo,Kivenlahti,Marinportti4A,60.15724,24.641398,Available on agreement,895.00,33.50,26.72,1h,no_sauna
block of flats,Espoo,Kivenlahti,Marinportti4A,60.15724,24.641398,Available on agreement,895.00,36.50,24.52,1h,no_sauna
block of flats,Espoo,Niittykumpu,Riihitontuntie16A,60.172015,24.764398,Available from 12/18/21,790.00,31.00,25.48,1h,no_sauna
block of flats,Espoo,Pohjois-Tapiola,Metsänpojankuja5,60.185858,24.804199,,850.00,30.50,27.87,1h,no_sauna
block of flats,Espoo,Vermonniitty,KaarloSarkianKatu7A,60.214735,24.833083,Available from 12/1/21,785.00,33.00,23.79,1h,no_sauna
block of flats,Espoo,Kivenlahti,Marinportti5B38,60.15724,24.641398,Available from 1/1/22,780.00,33.00,23.64,1h,no_sauna
block of flats,Espoo,Painiitty,Lotankatu5A,60.950267,25.675339,Available from 1/1/22,757.00,33.50,22.60,1h,no_sauna
block of flats,Espoo,Kavallinmäki,Kavallinmäki13B,60.224215,24.737023,Available immediately,619.00,26.50,23.36,1h,no_sauna
block of flats,Espoo,Kivenlahti,Tyrskyvuori4B,60.15724,24.641398,Available immediately,609.00,21.00,29.00,1h,no_sauna
block of flats,Espoo,Kivenlahti,Tyrskyvuori4B,60.15724,24.641398,Available immediately,629.00,21.00,29.95,1h,no_sauna
block of flats,Espoo,Saunalahti,Tiimalasintie6C,60.167836,24.61437,Available immediately,599.00,20.00,29.95,1h,no_sauna
block of flats,Espoo,Saunalahti,Tyyrpuuri2B,60.20956,24.65104,Available from 1/3/22,709.00,26.00,27.27,1h,no_sauna
block of flats,Espoo,Saunalahti,Linjaloistonkatu7B,60.20956,24.65104,Available from 12/1/21,690.00,31.50,21.90,1h,no_sauna
block of flats,Espoo,Leppävaara,Mestarinkatu5A4,60.22063,24.809466,Available from 12/31/21,725.00,27.00,26.85,1h,no_sauna
block of flats,Espoo,Niittykumpu,Niittykatu10E,60.459372,26.212679,Available from 12/1/21,699.00,24.50,28.53,1h,no_sauna
block of flats,Espoo,Matinkylä,Matinkatu(Kaisankuja1)22,60.20956,24.65104,,760.00,30.50,24.92,1h,no_sauna
block of flats,Espoo,Leppävaara,Armaslauniksenkatu6A,60.22063,24.809466,Available from 12/1/21,750.00,35.00,21.43,1h,no_sauna
block of flats,Espoo,Perkkaa,Majurinkatu3A,60.218008,24.81752,Available immediately,690.00,29.50,23.39,1h,no_sauna
block of flats,Espoo,Olari,Ylismäentie12,60.167557,24.735159,Available from 1/3/22,695.00,24.50,28.37,1h,no_sauna
block of flats,Espoo,Olari,Ylismäentie12,60.167557,24.735159,Available immediately,748.00,26.00,28.77,1h,no_sauna
block of flats,Espoo,Olari,Ylismäentie12,60.167557,24.735159,Available immediately,753.00,26.00,28.96,1h,no_sauna
block of flats,Espoo,Olari,Ylismäentie12,60.167557,24.735159,Available immediately,758.00,26.00,29.15,1h,no_sauna
block of flats,Espoo,Olari,Ylismäentie12,60.167557,24.735159,Available immediately,768.00,26.00,29.54,1h,no_sauna
block of flats,Espoo,Olari,Ylismäentie12,60.167557,24.735159,Available immediately,773.00,26.00,29.73,1h,no_sauna
block of flats,Espoo,Olari,Ylismäentie12,60.167557,24.735159,Available immediately,785.00,28.50,27.54,1h,no_sauna
block of flats,Espoo,Olari,Ylismäentie12,60.167557,24.735159,Available immediately,788.00,27.50,28.65,1h,no_sauna
block of flats,Espoo,Olari,Ylismäentie12,60.167557,24.735159,Available immediately,791.00,28.50,27.75,1h,no_sauna
block of flats,Espoo,Olari,Ylismäentie12,60.167557,24.735159,Available immediately,802.00,28.50,28.14,1h,no_sauna
block of flats,Espoo,Olari,Ylismäentie12,60.167557,24.735159,Available immediately,807.00,31.00,26.03,1h,no_sauna
block of flats,Espoo,Saunalahti,Tiimalasintie6B,60.167836,24.61437,Available immediately,599.00,20.50,29.22,1h,no_sauna
block of flats,Espoo,Saunalahti,Tyyrpuuri2,60.20956,24.65104,Available immediately,695.00,34.50,20.14,1h,no_sauna
block of flats,Espoo,Mäkkylä,Komendantintie1,60.222912,24.8322,Available from 12/1/21,695.00,23.00,30.22,1h,no_sauna
block of flats,Espoo,Mäkkylä,Komendantintie1,60.222912,24.8322,Available immediately,760.00,27.50,27.64,1h,no_sauna
block of flats,Espoo,Leppävaara,Linnatullinkatu1,60.22063,24.809466,Available immediately,1035.00,50.00,20.70,1h,no_sauna
block of flats,Espoo,Nöykkiö,Eestinlaakso11,60.169428,24.678742,Available from 1/1/22,650.00,22.50,28.89,1h,no_sauna
block of flats,Espoo,Saunalahti,Tiimalasintie6,60.167836,24.61437,Available from 12/1/21,650.00,20.50,31.71,1h,no_sauna
block of flats,Espoo,Saunalahti,Tiimalasintie6C89,60.167836,24.61437,Available immediately,615.00,20.50,30.00,1h,no_sauna
block of flats,Espoo,Saunalahti,Tiimalasintie6C92,60.167836,24.61437,Available immediately,615.00,20.50,30.00,1h,no_sauna
block of flats,Espoo,Leppävaara,Mestarinkatu5,60.22063,24.809466,Available from 1/1/22,730.00,27.00,27.04,1h,no_sauna
block of flats,Espoo,Vermonniitty,Perilänniitty3A,60.20956,24.65104,Available from 12/1/21,790.00,33.00,23.94,1h,no_sauna
block of flats,Espoo,Vermonniitty,Perilänniitty3A,60.20956,24.65104,Available immediately,775.00,33.00,23.48,1h,no_sauna
block of flats,Espoo,Kirkkojärvi,Reviisorinkatu8A,60.205934,24.666958,Available immediately,730.00,30.50,23.93,1h,no_sauna
block of flats,Espoo,Suvela,Kirstinmäki6,60.201774,24.664871,Available from 2/1/22,725.00,30.00,24.17,1h,no_sauna
block of flats,Espoo,Suvela,Kirstinmäki6,60.201774,24.664871,Available from 2/1/22,730.00,30.00,24.33,1h,no_sauna
block of flats,Espoo,Suvela,Kirstinmäki6,60.201774,24.664871,Available from 2/1/22,735.00,30.00,24.50,1h,no_sauna
block of flats,Espoo,Suvela,Kirstinmäki6,60.201774,24.664871,Available from 2/1/22,740.00,30.00,24.67,1h,no_sauna
block of flats,Espoo,Suvela,Kirstinmäki6,60.201774,24.664871,Available from 2/1/22,745.00,30.00,24.83,1h,no_sauna
block of flats,Espoo,Suvela,Kirstinmäki6,60.201774,24.664871,Available from 2/1/22,750.00,30.00,25.00,1h,no_sauna
block of flats,Espoo,Suvela,Kirstinmäki6,60.201774,24.664871,Available from 2/1/22,755.00,30.00,25.17,1h,no_sauna
block of flats,Espoo,Suvela,Kirstinmäki6,60.201774,24.664871,Available from 2/1/22,756.00,30.00,25.20,1h,no_sauna
block of flats,Espoo,Suvela,Kirstinmäki6,60.201774,24.664871,Available from 2/1/22,760.00,30.00,25.33,1h,no_sauna
block of flats,Espoo,Saunalahti,Kummelivuorentie15B,60.164649,24.620009,Available from 12/1/21,680.00,27.50,24.73,1h,no_sauna
block of flats,Espoo,Kilo,Multahaankuja8,60.222467,24.787305,Available immediately,720.00,29.50,24.41,1h,no_sauna
block of flats,Espoo,Kilo,Multahaankuja8,60.222467,24.787305,Available immediately,747.00,29.50,25.32,1h,no_sauna
block of flats,Espoo,Kilo,Multahaankuja8,60.222467,24.787305,Available immediately,786.00,30.00,26.20,1h,no_sauna
block of flats,Espoo,Kilo,Multahaankuja8,60.222467,24.787305,Available immediately,788.00,30.00,26.27,1h,no_sauna
block of flats,Espoo,Saunalahti,Tyyrpuuri2,60.20956,24.65104,Available immediately,660.00,26.00,25.38,1h,no_sauna
block of flats,Espoo,Pohjois-Tapiola,Metsänpojankuja5,60.185858,24.804199,,855.00,31.00,27.58,1h,sauna
block of flats,Espoo,Suurpelto,Piilipuuntie17,61.171214,24.658556,Available from 12/1/21,811.00,37.50,21.63,1h,sauna
block of flats,Espoo,Suurpelto,Piilipuuntie17,61.171214,24.658556,Available from 12/1/21,820.00,37.50,21.87,1h,sauna
block of flats,Espoo,Suurpelto,Piilipuuntie17,61.171214,24.658556,Available immediately,811.00,37.50,21.63,1h,sauna
block of flats,Espoo,,Korkoontie4B31,60.20956,24.65104,Available immediately,800.00,32.50,24.62,1h,no_sauna
block of flats,Espoo,Leppävaara,Tulkinkuja3,60.22063,24.809466,Available immediately,809.00,27.50,29.42,1h,no_sauna
block of flats,Espoo,Leppävaara,Tulkinkuja3,60.22063,24.809466,Available immediately,814.00,28.00,29.07,1h,no_sauna
block of flats,Espoo,Leppävaara,Tulkinkuja3,60.22063,24.809466,Available immediately,819.00,27.50,29.78,1h,no_sauna
block of flats,Espoo,Leppävaara,Tulkinkuja3,60.22063,24.809466,Available immediately,824.00,28.00,29.43,1h,no_sauna
block of flats,Espoo,Leppävaara,Tulkinkuja3,60.22063,24.809466,Available immediately,829.00,27.50,30.15,1h,no_sauna
block of flats,Espoo,Leppävaara,Tulkinkuja3,60.22063,24.809466,Available immediately,834.00,28.00,29.79,1h,no_sauna
block of flats,Espoo,Vermonniitty,Perilänniitty2,60.20956,24.65104,Available immediately,785.00,32.50,24.15,1h,no_sauna
block of flats,Espoo,Vermonniitty,Perilänniitty2,60.20956,24.65104,Available immediately,795.00,35.50,22.39,1h,no_sauna
block of flats,Espoo,Vermonniitty,Perilänniitty2,60.20956,24.65104,Available immediately,795.00,36.00,22.08,1h,no_sauna
block of flats,Espoo,Leppävaara,Itsehallintotie1,60.22063,24.809466,Available immediately,865.00,43.00,20.12,1h,sauna
block of flats,Espoo,Leppävaara,Säterinkuja1A01,60.22063,24.809466,Available immediately,695.50,48.50,14.34,1h,sauna
block of flats,Espoo,Tuomarila,Tuomarilankatu5,60.204256,24.680378,Available from 12/16/21,850.00,47.00,18.09,1h,sauna
block of flats,Espoo,Niittymaa,Malmiportti4A,60.20956,24.65104,Available from 1/1/22,852.00,47.50,17.94,1h,no_sauna
block of flats,Espoo,Suurpelto,Klariksentie2,60.183715,24.741868,Available immediately,867.47,44.50,19.49,1h,no_sauna
block of flats,Espoo,Järvenperä,Pellaksenmäentie15,60.230705,24.689381,Available immediately,687.00,28.00,24.54,1h,no_sauna
block of flats,Espoo,Järvenperä,Pellaksenmäentie15,60.230705,24.689381,Available immediately,705.00,28.00,25.18,1h,no_sauna
block of flats,Espoo,Järvenperä,Pellaksenmäentie15,60.230705,24.689381,Available immediately,720.00,32.00,22.50,1h,no_sauna
block of flats,Espoo,Järvenperä,Pellaksenmäentie15,60.230705,24.689381,Available immediately,740.00,32.00,23.13,1h,no_sauna
block of flats,Espoo,Suvela,Suvelantie16,60.204169,24.676468,Available from 12/31/21,532.78,42.50,12.54,1h,sauna
block of flats,Espoo,Saunalahti,Paapuuri4B,60.20956,24.65104,Available from 12/8/21,725.00,31.00,23.39,1h,no_sauna
block of flats,Espoo,Leppävaara,Porarinkatu3,60.22063,24.809466,Available immediately,1118.00,21.00,53.24,1h,no_sauna
block of flats,Espoo,Leppävaara,Porarinkatu3,60.22063,24.809466,Available immediately,1160.00,21.00,55.24,1h,no_sauna
block of flats,Espoo,Leppävaara,Porarinkatu3,60.22063,24.809466,Available immediately,1160.00,33.00,35.15,1h,no_sauna
block of flats,Espoo,Kilo,Kutojantie10,60.799492,25.730819,Available from 12/15/21,425.00,10.00,42.50,1h,no_sauna
block of flats,Espoo,Kilo,Kutojantie10,60.799492,25.730819,Available from 12/15/21,460.00,20.00,23.00,1h,no_sauna
block of flats,Espoo,Kilo,Kutojantie10,60.799492,25.730819,Available from 12/15/21,460.00,15.00,30.67,1h,no_sauna
block of flats,Espoo,Tapiola,Elosalamantie2,60.175487,24.803185,Available immediately,1497.00,27.00,55.44,1h,no_sauna
block of flats,Espoo,Leppävaara,Porarinkatu1,60.22063,24.809466,Available immediately,1274.00,20.00,63.70,1h,no_sauna
block of flats,Espoo,Leppävaara,Porarinkatu1,60.22063,24.809466,Available immediately,1441.00,20.00,72.05,1h,no_sauna
block of flats,Espoo,Näkinkylä,Kauppakumppanintie2C,60.199273,24.607216,Available immediately,695.00,30.00,23.17,1h,no_sauna
block of flats,Espoo,Saunalahti,Linjaloistonkatu3B,60.20956,24.65104,Available from 12/1/21,685.00,27.50,24.91,1h,no_sauna
block of flats,Espoo,Tapiola,Itäranta11C,60.175487,24.803185,Available immediately,720.00,27.00,26.67,1h,no_sauna
block of flats,Espoo,Kivenlahti,Aallonhuippu4,60.15724,24.641398,Available from 12/22/21,473.00,10.00,47.30,1h,no_sauna
block of flats,Espoo,Kivenlahti,Aallonhuippu4,60.15724,24.641398,Available from 12/24/21,473.00,9.00,52.56,1h,no_sauna
block of flats,Espoo,Kivenlahti,Aallonhuippu4,60.15724,24.641398,Available from 12/31/21,473.00,8.00,59.13,1h,no_sauna
block of flats,Espoo,Kivenlahti,Aallonhuippu4,60.15724,24.641398,Available immediately,543.00,13.00,41.77,1h,no_sauna
block of flats,Espoo,Kivenlahti,Aallonhuippu4,60.15724,24.641398,Available immediately,543.00,14.00,38.79,1h,no_sauna
block of flats,Espoo,Kivenlahti,Aallonkohina8A,60.15724,24.641398,Available from 12/1/21,740.00,38.50,19.22,1h,no_sauna
block of flats,Espoo,Soukka,Alakartanontie7,60.136954,24.673035,Available immediately,680.00,30.50,22.30,1h,no_sauna
block of flats,Espoo,Kivenlahti,Maininkitie9G,60.15724,24.641398,Available from 1/1/22,650.00,38.00,17.11,1h,no_sauna
block of flats,Espoo,Leppävaara,Nikkarinkuja5,60.646788,22.585158,Available from 12/2/21,1667.00,43.00,38.77,1h,no_sauna
block of flats,Espoo,Leppävaara,Nikkarinkuja5,60.646788,22.585158,Available immediately,1667.00,40.00,41.68,1h,no_sauna
block of flats,Espoo,Soukka,Yläkartanontie28,60.141924,24.66809,Available from 12/3/21,1356.00,35.00,38.74,1h,no_sauna
block of flats,Espoo,Lähderanta,Lähderanta11A,60.240162,24.741567,Available immediately,600.00,26.00,23.08,1h,no_sauna
block of flats,Espoo,Olari,Ilmakuja3,60.167557,24.735159,Available from 12/13/21,1291.00,32.00,40.34,1h,no_sauna
block of flats,Espoo,Otaniemi,Kivimiehentie2,60.179189,24.828084,Available immediately,1053.00,37.00,28.46,1h,no_sauna
block of flats,Espoo,Tapiola,Mäntyviita4,60.175487,24.803185,Available from 12/2/21,1290.00,33.00,39.09,1h,no_sauna
block of flats,Espoo,Leppävaara,Porarinkatu1,60.22063,24.809466,Available from 12/29/21,1106.00,14.00,79.00,1h,no_sauna
block of flats,Espoo,Leppävaara,Porarinkatu1,60.22063,24.809466,Available immediately,1106.00,21.00,52.67,1h,no_sauna
block of flats,Espoo,Nöykkiö,Eestinlaakso11,60.169428,24.678742,Available from 1/1/22,670.00,26.00,25.77,1h,no_sauna
block of flats,Espoo,Niittykumpu,Niittytaival5,60.172015,24.764398,Available immediately,770.00,34.00,22.65,1h,no_sauna
block of flats,Espoo,Saunalahti,Linjaloistonkatu3,60.20956,24.65104,Available from 1/10/22,740.00,36.50,20.27,1h,no_sauna
block of flats,Espoo,Saunalahti,Linjaloistonkatu3,60.20956,24.65104,Available immediately,695.00,28.00,24.82,1h,no_sauna
block of flats,Espoo,Leppävaara,ArmasLauniksenkatu14,60.22063,24.809466,Available from 12/28/21,790.00,30.50,25.90,1h,no_sauna
block of flats,Espoo,Saunalahti,Tiimalasintie6,60.167836,24.61437,Available from 1/1/22,640.00,20.50,31.22,1h,no_sauna
block of flats,Espoo,Saunalahti,Tiimalasintie6,60.167836,24.61437,Available from 12/1/21,645.00,20.50,31.46,1h,no_sauna
block of flats,Espoo,Saunalahti,Paapuuri4,60.20956,24.65104,Available immediately,695.00,31.00,22.42,1h,no_sauna
block of flats,Espoo,Matinkylä,Tynnyritie1,60.159711,24.736451,Available from 12/15/21,780.00,29.00,26.90,1h,no_sauna
block of flats,Espoo,Saunalahti,Tyyrpuuri2,60.20956,24.65104,Available immediately,650.00,26.00,25.00,1h,no_sauna
block of flats,Espoo,Kivenlahti,Aallonhuippu4,60.15724,24.641398,Available from 12/15/21,473.00,12.00,39.42,1h,no_sauna
block of flats,Espoo,Olari,Länsiportti4,60.167557,24.735159,Available from 12/1/21,1290.00,33.00,39.09,1h,no_sauna
block of flats,Espoo,Kivenlahti,Aallonhuippu4,60.15724,24.641398,Available from 12/5/21,543.00,12.00,45.25,1h,no_sauna
block of flats,Espoo,Olari,Kuvastimentie1,60.167557,24.735159,Available immediately,830.00,39.00,21.28,2h,no_sauna
block of flats,Espoo,Tapiola,Jousenportti,60.20956,24.65104,Available immediately,1070.00,43.00,24.88,2h,no_sauna
block of flats,Espoo,Kivenlahti,"Tyrskyvuori4,as105",60.15724,24.641398,Available immediately,1550.00,66.00,23.48,2h,no_sauna
block of flats,Espoo,Kivenlahti,"Tyrskyvuori4,as106",60.15724,24.641398,Available immediately,1600.00,66.00,24.24,2h,no_sauna
block of flats,Espoo,Tapiola,Tornitaso3,60.175487,24.803185,Available immediately,950.00,45.50,20.88,2h,no_sauna
block of flats,Espoo,Suvela,Kirstinsyrjä6B,60.204976,24.670184,Available immediately,699.00,54.50,12.83,2h,no_sauna
block of flats,Espoo,Haukilahti,Haukilahdenranta21C,60.159148,24.764153,Available immediately,878.00,51.50,17.05,2h,no_sauna
block of flats,Espoo,Espoonlahti,Tyrskyvuori2B,60.147738,24.637285,Available from 1/1/22,795.00,43.50,18.28,2h,no_sauna
block of flats,Espoo,Kilo,Nuijavuori1,60.211466,24.767072,"Available from 12/19/21|Display 12/11/21 
                  
   ",775.00,45.00,17.22,2h,no_sauna
block of flats,Espoo,Tapiola,Otsolahdentie14A,60.175487,24.803185,Available immediately,798.00,40.00,19.95,2h,no_sauna
block of flats,Espoo,Niittykumpu,Riihitontuntie16B,60.172015,24.764398,Available from 12/29/21,880.00,38.00,23.16,2h,no_sauna
block of flats,Espoo,Leppävaara,Rummunlyöjänkatu11A,60.22063,24.809466,Available from 1/1/22,895.00,44.00,20.34,2h,no_sauna
block of flats,Espoo,Suurpelto,Klariksentie4C,60.183627,24.740431,Available from 12/1/21,795.00,43.00,18.49,2h,no_sauna
block of flats,Espoo,Tuomarila,Kulovalkeantie4C,60.208599,24.680107,Available immediately,830.00,47.00,17.66,2h,no_sauna
block of flats,Espoo,Matinkylä,Puolikkotie6A,60.162543,24.73923,Available from 1/1/22,838.00,44.50,18.83,2h,no_sauna
block of flats,Espoo,Olari,Kalliolähteentie5C,60.167557,24.735159,Available from 1/1/22,850.00,35.50,23.94,2h,no_sauna
block of flats,Espoo,Tapiola,Hakarinne2,60.175487,24.803185,Available from 10/1/22,1500.00,62.00,24.19,2h,no_sauna
block of flats,Espoo,Saunalahti,VanhaSaunalahdentie17,60.163222,24.614056,Available immediately,820.00,46.50,17.63,2h,sauna
block of flats,Espoo,Suurpelto,Klariksentie4,60.183627,24.740431,Available from 11/21/21,1000.00,43.00,23.26,2h,sauna
block of flats,Espoo,Espoonkeskus,Kirkkojärventie10B,60.206317,24.657636,Available from 1/1/22,824.00,43.00,19.16,2h,no_sauna
block of flats,Espoo,,Muurarinkuja1F,60.224188,24.811982,Available from 12/1/21,844.00,49.00,17.22,2h,no_sauna
block of flats,Espoo,Espoonkeskus,Asemakuja1,60.20445,24.659754,Available from 1/1/22,1010.00,53.50,18.88,2h,no_sauna
block of flats,Espoo,Espoonkeskus,Asemakuja1,60.20445,24.659754,Available immediately,935.00,56.00,16.70,2h,no_sauna
block of flats,Espoo,Espoonkeskus,Asemakuja3,63.099603,23.035782,Available from 1/1/22,985.00,59.00,16.69,2h,no_sauna
block of flats,Espoo,Espoonkeskus,Asemakuja3,63.099603,23.035782,Available from 2/1/22,990.00,60.00,16.50,2h,no_sauna
block of flats,Espoo,Espoonkeskus,Asemakuja3,63.099603,23.035782,Available immediately,955.00,59.00,16.19,2h,no_sauna
block of flats,Espoo,Espoonkeskus,Asemakuja3,63.099603,23.035782,Available immediately,958.00,59.50,16.10,2h,no_sauna
block of flats,Espoo,Espoonkeskus,Asemakuja3,63.099603,23.035782,Available immediately,965.00,60.50,15.95,2h,no_sauna
block of flats,Espoo,Espoonkeskus,Asemakuja3,63.099603,23.035782,Available immediately,970.00,60.50,16.03,2h,no_sauna
block of flats,Espoo,Espoonkeskus,Asemakuja3,63.099603,23.035782,Available immediately,995.00,60.50,16.45,2h,no_sauna
block of flats,Espoo,Espoonkeskus,Sinettikuja3,60.202084,24.657504,Available immediately,912.00,58.00,15.72,2h,no_sauna
block of flats,Espoo,Espoonkeskus,Sinettikuja3,60.202084,24.657504,Available immediately,917.00,58.50,15.68,2h,no_sauna
block of flats,Espoo,Espoonkeskus,Sinettikuja3,60.202084,24.657504,Available immediately,920.00,59.50,15.46,2h,no_sauna
block of flats,Espoo,Espoonkeskus,Valakuja8,60.202552,24.658554,Available immediately,920.00,47.00,19.57,2h,no_sauna
block of flats,Espoo,Espoonlahti,AmiraalinPuistotie10,60.151152,24.662589,Available immediately,840.00,40.50,20.74,2h,no_sauna
block of flats,Espoo,Haukilahti,Kiiskenevä2B,60.164656,24.775459,Available immediately,915.00,52.50,17.43,2h,no_sauna
block of flats,Espoo,Haukilahti,Kiiskenevä2B,60.164656,24.775459,Available immediately,960.00,52.50,18.29,2h,no_sauna
block of flats,Espoo,Haukilahti,Kiiskenevä2C,60.164656,24.775459,Available immediately,960.00,52.50,18.29,2h,no_sauna
block of flats,Espoo,Haukilahti,Kiiskenevä2E,60.164656,24.775459,Available from 12/10/21,994.00,52.50,18.93,2h,no_sauna
block of flats,Espoo,Haukilahti,Kiiskenevä2E,60.164656,24.775459,Available from 12/20/21,973.00,52.50,18.53,2h,no_sauna
block of flats,Espoo,Karakallio,Kalasääksentie6,60.229283,24.777225,Available immediately,946.00,56.00,16.89,2h,no_sauna
block of flats,Espoo,Karakallio,Kalasääksentie6,60.229283,24.777225,Available immediately,956.00,56.00,17.07,2h,no_sauna
block of flats,Espoo,Karakallio,Kalasääksentie6,60.229283,24.777225,Available immediately,965.00,56.00,17.23,2h,no_sauna
block of flats,Espoo,Karakallio,Kalasääksentie6,60.229283,24.777225,Available immediately,981.00,56.00,17.52,2h,no_sauna
block of flats,Espoo,Karakallio,Kalasääksentie6,60.229283,24.777225,Available immediately,999.00,56.00,17.84,2h,no_sauna
block of flats,Espoo,Karakallio,Kotkatie6B,60.229283,24.777225,Available from 12/1/21,849.00,59.00,14.39,2h,no_sauna
block of flats,Espoo,Karakallio,Kotkatie6E,60.229283,24.777225,Available from 1/4/22,849.00,59.00,14.39,2h,no_sauna
block of flats,Espoo,Karakallio,Kotkatie6F,60.229283,24.777225,Available immediately,849.00,59.00,14.39,2h,no_sauna
block of flats,Espoo,Kilo,PUISTOPIHA2C,60.216489,24.789694,Available immediately,946.00,58.50,16.17,2h,no_sauna
