,description,city,district,street,latitude,longitude,date,price,SQ,price_meter,rooms,sauna
0,balcony access block,Espoo,Lippajärvi,Ingaksenmäki2,60.223864,24.693691,Available immediately,790.0,24.0,32.92,1h,no_sauna
1,balcony access block,Espoo,Saunalahti,Itäviitta6A,60.166892,24.614854,Available from 12/1/21,730.0,36.0,20.28,1h,no_sauna
2,balcony access block,Espoo,Leppävaara,Nuotiopiha1B29,60.22063,24.809466,Available immediately,589.22,37.5,15.71,1h,sauna
3,balcony access block,Espoo,Soukka,Kastevuorenkuja1,60.137964,24.676331,Available immediately,800.0,46.5,17.2,1h,sauna
4,balcony access block,Espoo,,Friisinmäenaukio7,60.209097,24.782737,Available from 1/1/22,595.4,35.5,16.77,1h,no_sauna
5,balcony access block,Espoo,,Ingaksenmäki2,60.223864,24.693691,Available from 12/1/21,690.0,24.0,28.75,1h,no_sauna
6,balcony access block,Espoo,,Ingaksenmäki2,60.223864,24.693691,Available immediately,690.0,24.0,28.75,1h,no_sauna
7,balcony access block,Espoo,Kauklahti,Bassenkuja1,60.184653,24.601151,Available from 12/1/21,720.0,24.0,30.0,1h,no_sauna
8,balcony access block,Espoo,Järvenperä,Viljatullintie2-4,60.229262,24.697285,Available from 1/1/22,675.0,28.5,23.68,1h,no_sauna
9,balcony access block,Espoo,Järvenperä,Viljatullintie2-4,60.229262,24.697285,Available from 12/1/21,675.0,28.5,23.68,1h,no_sauna
10,balcony access block,Espoo,Järvenperä,Viljatullintie2-4,60.229262,24.697285,Available from 12/1/21,680.0,28.5,23.86,1h,no_sauna
11,balcony access block,Espoo,Tontunmäki,Kotitontuntie6-8B,60.174061,24.766071,Available immediately,849.0,63.0,13.48,2h,no_sauna
12,balcony access block,Espoo,Kivenlahti,Merivirta11,60.15724,24.641398,Available immediately,770.0,53.0,14.53,2h,no_sauna
13,balcony access block,Espoo,Karvasmäki,VanhaTuruntie7513,60.217995,24.661109,Available immediately,767.0,55.5,13.82,2h,no_sauna
14,balcony access block,Espoo,Karvasmäki,VanhaTuruntie7512,60.217995,24.661109,Available immediately,767.0,55.5,13.82,2h,no_sauna
15,balcony access block,Espoo,Järvenperä,Aurorankuja5,60.237172,24.701246,Available from 12/16/21,850.0,58.0,14.66,2h,sauna
16,balcony access block,Espoo,Kauklahti,Fickenkuja2C-E,60.184653,24.601151,Available from 1/1/22,739.2,57.5,12.86,2h,sauna
17,balcony access block,Espoo,Kauklahti,Fickenkuja2C-E,60.184653,24.601151,Available from 12/1/21,726.46,57.5,12.63,2h,sauna
18,balcony access block,Espoo,Tontunmäki,Nokitontunkuja2,60.175026,24.775695,Available immediately,890.0,45.0,19.78,2h,sauna
19,balcony access block,Espoo,Karvasmäki,VanhaTuruntie75H-S,60.217995,24.661109,Available immediately,750.0,46.5,16.13,2h,sauna
20,balcony access block,Espoo,,Friisinmäenaukio7,60.209097,24.782737,Available from 1/1/22,802.14,44.0,18.23,2h,no_sauna
21,balcony access block,Espoo,Järvenperä,Pellaksenmäentie13,60.229488,24.689124,Available immediately,797.62,42.0,18.99,2h,no_sauna
22,balcony access block,Espoo,Saunalahti,Katajalaakso1,60.167909,24.624479,Available from 12/1/21,721.0,45.5,15.85,2h,no_sauna
23,balcony access block,Espoo,Tuomarila,Puistotie3D,60.20672,24.684481,Available immediately,1050.0,59.0,17.8,3h,sauna
24,balcony access block,Espoo,Järvenperä,Pellaksenmäentie13,60.229488,24.689124,Available immediately,1020.3,60.0,17.0,3h,sauna
25,balcony access block,Espoo,Laaksolahti,Kolkekannaksentie19B,60.239266,24.736798,Available immediately,1950.0,97.0,20.1,4h,no_sauna
26,block of flats,Espoo,Saunalahti,Tiimalasintie6A7,60.167836,24.61437,Available immediately,640.0,20.5,31.22,1h,no_sauna
27,block of flats,Espoo,Kilo,Kilonportti2A,60.217396,24.783783,Available from 12/1/21,740.0,28.5,25.96,1h,no_sauna
28,block of flats,Espoo,Kauklahti,Bassenkuja1,60.184653,24.601151,Available from 12/1/21,720.0,24.0,30.0,1h,no_sauna
29,block of flats,Espoo,Saunalahti,Kummelivuorentie10,60.165393,24.621416,Available from 12/1/21,690.0,28.0,24.64,1h,no_sauna
30,block of flats,Espoo,Espoonlahti,Ruorimiehenkatu3D,60.147918,24.650946,Available from 12/1/21,715.0,38.0,18.82,1h,no_sauna
31,block of flats,Espoo,Mäkkylä,Adjutantinkatu3B,60.221627,24.834885,Available immediately,750.0,29.5,25.42,1h,no_sauna
32,block of flats,Espoo,Mäkkylä,Adjutantinkatu3C,60.221627,24.834885,Available from 1/1/22,890.0,38.5,23.12,1h,no_sauna
33,block of flats,Espoo,Matinkylä,Sepetlahdentie7A,60.152855,24.743193,Available immediately,688.0,33.5,20.54,1h,no_sauna
34,block of flats,Espoo,Olari,Kuusikallionkuja3,60.167557,24.735159,Available immediately,730.0,34.0,21.47,1h,no_sauna
35,block of flats,Espoo,Tapiola,Mäntyviita4A,60.175487,24.803185,Available immediately,792.0,33.0,24.0,1h,no_sauna
36,block of flats,Espoo,,Kulovalkeantie12A,60.207254,24.681772,Available immediately,758.0,45.5,16.66,1h,no_sauna
37,block of flats,Espoo,Tuomarila,Kulovalkeantie14B,60.207008,24.682638,,780.0,40.0,19.5,1h,no_sauna
38,block of flats,Espoo,Otaniemi,Otakuja3,60.179189,24.828084,Available immediately,820.0,40.0,20.5,1h,no_sauna
39,block of flats,Espoo,Saunalahti,Linjaloistonkatu3,60.168318,24.65104,Available immediately,640.0,28.0,22.86,1h,no_sauna
40,block of flats,Espoo,Tuomarila,Kaksoiskiventie49E,60.205185,24.685726,Available immediately,660.0,32.5,20.31,1h,no_sauna
41,block of flats,Espoo,Olari,Kuutamokatu2E,60.167557,24.735159,Available from 12/1/21,499.0,20.5,24.34,1h,no_sauna
42,block of flats,Espoo,Tapiola,Sateentie2A,60.175487,24.803185,Available immediately,690.0,20.0,34.5,1h,no_sauna
43,block of flats,Espoo,Olari,Ylismäentie12G,60.167557,24.735159,Available immediately,745.0,28.5,26.14,1h,no_sauna
44,block of flats,Espoo,Espoonkeskus,Reviisorinkatu8A,60.205934,24.666958,Available from 1/1/22,678.0,31.5,21.52,1h,no_sauna
45,block of flats,Espoo,Kivenlahti,Tyrskyvuori4B,60.15724,24.641398,Available immediately,680.0,26.0,26.15,1h,no_sauna
46,block of flats,Espoo,Nöykkiö,Eestinlaakso11A,60.169428,24.678742,Available from 12/1/21,695.0,22.5,30.89,1h,no_sauna
47,block of flats,Espoo,Olari,Ylismäentie12G,60.167557,24.735159,Available immediately,850.0,31.5,26.98,1h,no_sauna
48,block of flats,Espoo,Olari,Ylismäentie12G,60.167557,24.735159,Available immediately,795.0,31.5,25.24,1h,no_sauna
49,block of flats,Espoo,Saunalahti,Linjaloistonkatu7A,60.168318,24.65104,Available from 1/1/22,690.0,30.5,22.62,1h,no_sauna
50,block of flats,Espoo,Saunalahti,Tiimalasintie6C,60.167836,24.61437,Available immediately,637.0,21.0,30.33,1h,no_sauna
51,block of flats,Espoo,Tapiola,Jousenpuistonkatu1B,60.175487,24.803185,Available immediately,719.0,25.5,28.2,1h,no_sauna
52,block of flats,Espoo,Pohjois-Tapiola,Tietäjäntie4B,60.188379,24.804012,Available from 12/1/21,720.0,28.0,25.71,1h,no_sauna
53,block of flats,Espoo,Viherlaakso,Lukionahde3A,60.229112,24.737101,Available from 12/1/21,695.0,33.5,20.75,1h,no_sauna
54,block of flats,Espoo,Kivenlahti,Meriusva5A,60.15724,24.641398,Available immediately,890.0,37.5,23.73,1h,no_sauna
55,block of flats,Espoo,Olari,Piispanportti9B,60.167557,24.735159,Available from 12/1/21,750.0,28.5,26.32,1h,no_sauna
56,block of flats,Espoo,Suurpelto,SuurpellonPuistokatu6,60.185172,24.743572,Available from 1/1/22,770.0,49.0,15.71,1h,no_sauna
57,block of flats,Espoo,Espoonlahti,Kipparinkatu4A10,60.20956,24.65104,Available from 12/30/21,695.0,27.0,25.74,1h,no_sauna
58,block of flats,Espoo,Finnoo,"Syväsalmenkatu9,B38",60.20956,24.65104,Available from 3/1/22,650.0,21.5,30.23,1h,no_sauna
59,block of flats,Espoo,Matinkylä,Markkinakatu2,60.160572,24.736914,Available immediately,870.0,40.5,21.48,1h,sauna
60,block of flats,Espoo,Tapiola,Tuuliniitty5B,60.175487,24.803185,Available immediately,890.0,29.0,30.69,1h,no_sauna
61,block of flats,Espoo,Olari,Piispanportti9C,60.167557,24.735159,Available immediately,718.0,29.5,24.34,1h,no_sauna
62,block of flats,Espoo,Vermonniitty,KaarloSarkiankatu10B,60.214496,24.832756,Available immediately,675.0,26.5,25.47,1h,no_sauna
63,block of flats,Espoo,Sepänkylä,Peuraniitty1B,60.203591,24.73334,Available immediately,725.0,28.0,25.89,1h,no_sauna
64,block of flats,Espoo,Espoonkeskus,Kirstinsyrjä7D,60.205775,24.67121,,695.0,38.0,18.29,1h,no_sauna
65,block of flats,Espoo,Kilo,Kilonkallionkuja5B,60.220968,24.780906,Available from 12/1/21,749.0,40.5,18.49,1h,no_sauna
66,block of flats,Espoo,Kivenlahti,Aalto4A,60.15724,24.641398,Available immediately,739.0,38.5,19.19,1h,no_sauna
67,block of flats,Espoo,Kivenlahti,Aalto4B,60.15724,24.641398,Available from 12/1/21,779.0,38.5,20.23,1h,no_sauna
68,block of flats,Espoo,Kivenlahti,Aalto4C,60.15724,24.641398,Available from 1/1/22,739.0,38.5,19.19,1h,no_sauna
69,block of flats,Espoo,Matinkylä,Matinkatu22A,60.15789,24.740306,Available from 12/31/21,955.0,33.5,28.51,1h,no_sauna
70,block of flats,Espoo,Matinkylä,Matinniitynkuja8B,60.159055,24.742541,Available from 2/1/22,829.0,32.0,25.91,1h,no_sauna
71,block of flats,Espoo,Matinkylä,Matinniitynkuja8B,60.159055,24.742541,Available immediately,819.0,33.5,24.45,1h,no_sauna
72,block of flats,Espoo,Matinkylä,Matinniitynkuja8C,60.159055,24.742541,Available from 1/1/22,839.0,33.5,25.04,1h,no_sauna
73,block of flats,Espoo,Matinkylä,Nelikkotie8C,60.162374,24.744072,Available from 12/1/21,772.0,31.5,24.51,1h,no_sauna
75,block of flats,Espoo,Olari,Piispanportti9,60.167557,24.735159,Available from 12/1/21,830.0,31.5,26.35,1h,no_sauna
76,block of flats,Espoo,Suurpelto,Klariksentie2,60.183715,24.741868,Available immediately,832.99,52.5,15.87,1h,no_sauna
77,block of flats,Espoo,Suurpelto,Klariksentie2,60.183715,24.741868,Available immediately,849.48,52.5,16.18,1h,no_sauna
78,block of flats,Espoo,Suurpelto,Klariksentie2,60.183715,24.741868,Available immediately,857.73,52.5,16.34,1h,no_sauna
79,block of flats,Espoo,Suurpelto,SuurpellonPuistokatu6A-C,60.185172,24.743572,Available from 1/31/22,625.25,39.0,16.03,1h,no_sauna
80,block of flats,Espoo,Suvela,Kirstinharju23,60.205889,24.672069,Available immediately,808.0,38.0,21.26,1h,no_sauna
81,block of flats,Espoo,Suvela,Kirstinharju23,60.205889,24.672069,Available immediately,815.0,38.0,21.45,1h,no_sauna
82,block of flats,Espoo,Suvela,Kirstintie30,60.205482,24.672946,Available from 1/22/22,734.0,38.0,19.32,1h,no_sauna
83,block of flats,Espoo,Tapiola,Kaskenkaatajantie5C,60.175487,24.803185,Available from 1/1/22,859.0,41.0,20.95,1h,no_sauna
84,block of flats,Espoo,Tapiola,Kaskenkaatajantie5C,60.175487,24.803185,Available from 1/1/22,879.0,41.0,21.44,1h,no_sauna
85,block of flats,Espoo,Tapiola,Kaskenkaatajantie5D,60.175487,24.803185,Available from 2/1/22,859.0,41.0,20.95,1h,no_sauna
86,block of flats,Espoo,Kivenlahti,Aallonhuippu5B,60.15724,24.641398,Available immediately,625.0,39.5,15.82,1h,no_sauna
87,block of flats,Espoo,Tapiola,Kalevanvainio4A,60.175487,24.803185,Available immediately,820.0,43.0,19.07,1h,no_sauna
89,block of flats,Espoo,Saunalahti,Kompassikatu9B,60.168697,24.612343,Available immediately,679.0,36.5,18.6,1h,no_sauna
90,block of flats,Espoo,Saunalahti,Kummelivuorentie10A,60.165393,24.621416,Available from 12/1/21,695.0,28.0,24.82,1h,no_sauna
92,block of flats,Espoo,Laajalahti,Heinjoenpolku1,60.201695,24.782751,Available from 2/28/22,750.0,34.5,21.74,1h,no_sauna
93,block of flats,Espoo,Viherlaakso,Viherkalliontie1D,60.22848,24.741678,,650.0,34.0,19.12,1h,no_sauna
94,block of flats,Espoo,Matinkylä,Piispankallio4,60.167362,24.744235,Available from 12/1/21,765.0,29.0,26.38,1h,no_sauna
95,block of flats,Espoo,Kivenlahti,Merivirta7,60.15724,24.641398,Available from 12/1/21,695.0,35.0,19.86,1h,no_sauna
96,block of flats,Espoo,Eestinlaakso,Eestinlaakso11A13,60.169428,24.678742,Available from 12/1/21,630.0,22.5,28.0,1h,no_sauna
97,block of flats,Espoo,Soukka,Kaskilaaksontie3,60.139959,24.662592,Available immediately,725.0,37.5,19.33,1h,no_sauna
98,block of flats,Espoo,Soukka,Soukankaari2,60.141826,24.674221,Available immediately,725.0,39.5,18.35,1h,no_sauna
99,block of flats,Espoo,Lintuvaara,Tikankolo6A,60.228657,24.804099,Available from 1/1/22,749.0,38.0,19.71,1h,sauna
100,block of flats,Espoo,Kivenlahti,Aallonkohina8C,60.15724,24.641398,Available immediately,650.0,38.5,16.88,1h,no_sauna
101,block of flats,Espoo,Espoonkeskus,Asemakuja1,60.20445,24.659754,Available from 12/1/21,838.0,44.0,19.05,1h,no_sauna
102,block of flats,Espoo,Espoonkeskus,Asemakuja1,60.20445,24.659754,Available immediately,798.0,31.0,25.74,1h,no_sauna
103,block of flats,Espoo,Espoonkeskus,Asemakuja1,60.20445,24.659754,Available immediately,810.0,36.5,22.19,1h,no_sauna
104,block of flats,Espoo,Espoonkeskus,Asemakuja1,60.20445,24.659754,Available immediately,815.0,36.5,22.33,1h,no_sauna
105,block of flats,Espoo,Espoonkeskus,Asemakuja1,60.20445,24.659754,Available immediately,875.0,44.0,19.89,1h,no_sauna
106,block of flats,Espoo,Haukilahti,Kiiskenevä2A,60.164656,24.775459,Available from 1/1/22,777.0,32.0,24.28,1h,no_sauna
107,block of flats,Espoo,Haukilahti,Pitkänkalliontie11,60.157857,24.778712,Available immediately,700.0,30.0,23.33,1h,no_sauna
109,block of flats,Espoo,Iivisniemi,Iivisniemenkatu4A18,60.20956,24.65104,Available immediately,680.0,28.0,24.29,1h,no_sauna
110,block of flats,Espoo,Karakallio,Kalasääksentie6,60.229283,24.777225,Available immediately,734.0,27.0,27.19,1h,no_sauna
111,block of flats,Espoo,Kauklahti,ErikBassentie14,60.184653,24.601151,Available immediately,625.0,33.0,18.94,1h,no_sauna
112,block of flats,Espoo,Kauklahti,Hansatie4E,60.184653,24.601151,Available from 1/1/22,729.0,37.0,19.7,1h,no_sauna
113,block of flats,Espoo,Kauklahti,Hansatie4F,60.184653,24.601151,Available from 12/1/21,729.0,37.0,19.7,1h,no_sauna
114,block of flats,Espoo,Kauklahti,Hansatie4K,60.184653,24.601151,Available immediately,729.0,38.5,18.94,1h,no_sauna
115,block of flats,Espoo,Kivenlahti,Kivenlahdenkatu4,60.15724,24.641398,Available immediately,782.0,38.5,20.31,1h,no_sauna
116,block of flats,Espoo,Laajalahti,Heinjoenpolku2P-YT,60.20956,24.65104,Available immediately,699.0,31.0,22.55,1h,no_sauna
117,block of flats,Espoo,Laajalahti,Heinjoenpolku2P-YX,60.20956,24.65104,Available immediately,699.0,31.0,22.55,1h,no_sauna
118,block of flats,Espoo,Laajalahti,Kirvuntie18A-BB,60.201695,24.782751,Available from 1/1/22,695.0,24.0,28.96,1h,no_sauna
119,block of flats,Espoo,Leppävaara,Leppäviita5,60.22063,24.809466,Available from 1/1/22,773.07,34.5,22.41,1h,no_sauna
120,block of flats,Espoo,Leppävaara,Perkkaankuja3A,60.22063,24.809466,Available immediately,759.0,35.5,21.38,1h,no_sauna
121,block of flats,Espoo,Leppävaara,Perkkaankuja3D,60.22063,24.809466,Available immediately,759.0,35.5,21.38,1h,no_sauna
122,block of flats,Espoo,Leppävaara,Ratsukatu4B,60.22063,24.809466,Available from 12/10/21,790.0,29.5,26.78,1h,no_sauna
123,block of flats,Espoo,Leppävaara,Zanseninkuja6A,60.22063,24.809466,Available immediately,829.0,33.5,24.75,1h,no_sauna
126,block of flats,Espoo,Matinkylä,Kala-Matti3C,60.158317,24.738457,Available immediately,759.0,35.0,21.69,1h,no_sauna
128,block of flats,Espoo,Olari,Kuunsirppi6A,60.167557,24.735159,Available from 1/1/22,729.0,28.5,25.58,1h,no_sauna
129,block of flats,Espoo,Olari,Kuunsirppi6A,60.167557,24.735159,Available immediately,729.0,28.5,25.58,1h,no_sauna
130,block of flats,Espoo,Olari,Kuvastimentie1E,60.167557,24.735159,Available immediately,750.0,29.5,25.42,1h,no_sauna
131,block of flats,Espoo,Olari,Kuvastimentie1F,60.167557,24.735159,Available from 1/1/22,805.0,36.0,22.36,1h,no_sauna
132,block of flats,Espoo,Olari,Kuvastimentie1G,60.167557,24.735159,Available from 12/1/21,790.0,36.5,21.64,1h,no_sauna
133,block of flats,Espoo,Saunalahti,Kummelivuorentie3,60.164058,24.615095,Available from 12/24/21,476.81,36.5,13.06,1h,no_sauna
134,block of flats,Espoo,Saunalahti,Kummelivuorentie6,60.164034,24.618251,Available from 1/6/22,406.3,28.5,14.26,1h,no_sauna
135,block of flats,Espoo,Suurpelto,Henttaanpuistokatu8A,60.188565,24.741841,Available immediately,769.0,41.5,18.53,1h,no_sauna
136,block of flats,Espoo,Suurpelto,Klariksentie6,60.182659,24.741057,Available immediately,840.0,46.0,18.26,1h,no_sauna
137,block of flats,Espoo,Suurpelto,Piilipuuntie25,60.188712,24.738873,Available immediately,845.0,36.5,23.15,1h,no_sauna
138,block of flats,Espoo,Suurpelto,Piilipuuntie3C-E,60.185177,24.741244,Available immediately,532.79,34.5,15.44,1h,no_sauna
139,block of flats,Espoo,Suvela,Kirstinmäki3D,60.202126,24.666524,Available from 12/1/21,729.0,36.0,20.25,1h,no_sauna
140,block of flats,Espoo,Suvela,Kirstintie28,60.205054,24.672615,Available from 12/1/21,693.0,34.5,20.09,1h,no_sauna
141,block of flats,Espoo,Tapiola,Elosalamantie2E,60.175487,24.803185,Available immediately,879.0,40.5,21.7,1h,no_sauna
142,block of flats,Espoo,Tapiola,Elosalamantie4B,60.175487,24.803185,Available from 1/1/22,879.0,36.0,24.42,1h,no_sauna
143,block of flats,Espoo,Tapiola,Elosalamantie4B,60.175487,24.803185,Available immediately,829.0,32.0,25.91,1h,no_sauna
144,block of flats,Espoo,Tapiola,Elosalamantie4E,60.175487,24.803185,Available from 1/1/22,839.0,32.0,26.22,1h,no_sauna
145,block of flats,Espoo,Tapiola,Elosalamantie4E,60.175487,24.803185,Available from 12/1/21,839.0,32.0,26.22,1h,no_sauna
146,block of flats,Espoo,Tapiola,Elosalamantie4F,60.175487,24.803185,Available from 12/1/21,799.0,27.0,29.59,1h,no_sauna
147,block of flats,Espoo,Tapiola,Elosalamantie4F,60.175487,24.803185,Available immediately,799.0,32.0,24.97,1h,no_sauna
148,block of flats,Espoo,Tapiola,Elosalamantie4G,60.175487,24.803185,Available immediately,799.0,32.0,24.97,1h,no_sauna
149,block of flats,Espoo,Tapiola,Jousenkaari5A,60.175487,24.803185,Available from 1/1/22,719.0,21.0,34.24,1h,no_sauna
150,block of flats,Espoo,Tapiola,Jousenkaari5A,60.175487,24.803185,Available from 3/1/22,729.0,21.0,34.71,1h,no_sauna
151,block of flats,Espoo,Tapiola,Jousenkaari7A,60.175487,24.803185,Available from 1/1/22,709.0,21.0,33.76,1h,no_sauna
152,block of flats,Espoo,Tapiola,Kaskenkaatajantie5B,60.175487,24.803185,Available from 1/1/22,739.0,24.0,30.79,1h,no_sauna
153,block of flats,Espoo,Tiistilä,Kalastajankuja8C,60.15447,24.732975,Available from 12/1/21,650.0,31.0,20.97,1h,no_sauna
154,block of flats,Espoo,Tuomarila,Kulovalkeankuja2A,60.207886,24.684525,Available immediately,729.0,32.0,22.78,1h,no_sauna
155,block of flats,Espoo,Tuomarila,Kulovalkeankuja2B,60.207886,24.684525,Available immediately,729.0,32.0,22.78,1h,no_sauna
156,block of flats,Espoo,Tuomarila,Kulovalkeantie22B,60.20749,24.684481,Available from 1/1/22,729.0,33.0,22.09,1h,no_sauna
157,block of flats,Espoo,Tuomarila,Ratalaaksonkuja14,60.206217,24.677983,Available from 12/1/21,750.0,33.5,22.39,1h,no_sauna
158,block of flats,Espoo,Tuomarila,Ratalaaksonkuja14,60.206217,24.677983,Available immediately,755.0,34.5,21.88,1h,no_sauna
159,block of flats,Espoo,Viherlaakso,Viherlaaksonranta7F,60.228216,24.731438,Available from 1/1/22,699.0,26.2,26.68,1h,no_sauna
160,block of flats,Espoo,Viherlaakso,Viherlaaksonranta7H,60.228216,24.731438,Available from 1/1/22,699.0,26.2,26.68,1h,no_sauna
161,block of flats,Espoo,Ymmersta,Ullantorppa2,60.205137,24.707242,Available from 1/1/22,542.3,35.5,15.28,1h,no_sauna
162,block of flats,Espoo,Ymmersta,Ullantorppa2,60.205137,24.707242,Available from 1/1/22,549.94,36.0,15.28,1h,no_sauna
163,block of flats,Espoo,Ymmersta,Ullantorppa2,60.205137,24.707242,Available from 1/1/22,565.21,37.0,15.28,1h,no_sauna
164,block of flats,Espoo,Niittymaa,Malmiportti4A,60.20956,24.65104,Available from 12/1/21,785.0,30.0,26.17,1h,no_sauna
166,block of flats,Espoo,Kivenlahti,Aallonhuippu7A,60.15724,24.641398,Available from 12/1/21,580.0,39.5,14.68,1h,no_sauna
167,block of flats,Espoo,Haukilahti,Hauenkalliontie8D,60.162013,24.770501,Available immediately,695.0,25.6,27.15,1h,no_sauna
168,block of flats,Espoo,Pohjois-Tapiola,Visamäki5D,60.188225,24.785047,Available immediately,678.0,29.5,22.98,1h,no_sauna
169,block of flats,Espoo,Lähderanta,Lähderanta20E,60.240162,24.741567,Available immediately,599.0,27.0,22.19,1h,no_sauna
170,block of flats,Espoo,Leppävaara,Postipuuntie1A,60.22063,24.809466,Available immediately,699.0,33.0,21.18,1h,no_sauna
171,block of flats,Espoo,Matinkylä,Sepetlahdentie14D,60.152174,24.741726,Available immediately,635.0,30.0,21.17,1h,no_sauna
172,block of flats,Espoo,Saunalahti,Kummelivuorentie15C,60.164649,24.620009,Available from 1/1/22,690.0,27.5,25.09,1h,no_sauna
173,block of flats,Espoo,Mäkkylä,Sotarovastintie9B,60.225107,24.840632,Available immediately,668.0,33.0,20.24,1h,no_sauna
174,block of flats,Espoo,Matinkylä,Matinniitynkuja6B,60.15889,24.743519,Available from 12/1/21,758.1,30.0,25.27,1h,no_sauna
175,block of flats,Espoo,Olari,Kuvastimentie1G,60.167557,24.735159,Available immediately,800.0,36.5,21.92,1h,no_sauna
176,block of flats,Espoo,Westend,Alalinnake1E45,60.20956,24.65104,Available from 12/1/21,760.0,28.0,27.14,1h,no_sauna
177,block of flats,Espoo,Leppävaara,Ruutikatu8,60.22063,24.809466,Available from 1/1/22,680.0,28.5,23.86,1h,no_sauna
178,block of flats,Espoo,Vesirattaanmäki,Vesirattaanmäki1A,60.227324,24.666557,Available from 1/1/22,661.0,30.0,22.03,1h,no_sauna
179,block of flats,Espoo,Vesirattaanmäki,Vesirattaanmäki1A,60.227324,24.666557,Available from 1/1/22,676.0,33.5,20.18,1h,no_sauna
180,block of flats,Espoo,Vesirattaanmäki,Vesirattaanmäki1A,60.227324,24.666557,Available immediately,667.0,33.5,19.91,1h,no_sauna
181,block of flats,Espoo,Espoonkeskus,Kiltakuja1,60.199496,24.65491,Available immediately,874.0,38.0,23.0,1h,sauna
182,block of flats,Espoo,Kilo,Trillakatu2,60.216899,24.785207,Available from 12/15/21,503.76,36.0,13.99,1h,sauna
183,block of flats,Espoo,Matinkylä,Nelikkotie2,60.161998,24.740475,Available from 12/13/21,833.0,41.0,20.32,1h,sauna
184,block of flats,Espoo,Suvela,Sokinsuontie7,60.199618,24.670474,Available from 12/16/21,453.13,37.0,12.25,1h,sauna
185,block of flats,Espoo,Tapiola,Jousenpuistonkatu3,60.175487,24.803185,Available immediately,820.0,28.0,29.29,1h,no_sauna
187,block of flats,Espoo,,Peijinkuja3,60.20956,24.65104,Available from 3/1/22,755.0,31.0,24.35,1h,no_sauna
188,block of flats,Espoo,,Peijinkuja3,60.20956,24.65104,Available from 3/1/22,760.0,31.0,24.52,1h,no_sauna
189,block of flats,Espoo,,Peijinkuja3,60.20956,24.65104,Available from 3/1/22,765.0,31.0,24.68,1h,no_sauna
190,block of flats,Espoo,,Peijinkuja3,60.20956,24.65104,Available from 3/1/22,805.0,37.5,21.47,1h,no_sauna
191,block of flats,Espoo,,Peijinkuja3,60.20956,24.65104,Available from 3/1/22,810.0,37.5,21.6,1h,no_sauna
192,block of flats,Espoo,,Peijinkuja3,60.20956,24.65104,Available from 3/1/22,830.0,37.5,22.13,1h,no_sauna
193,block of flats,Espoo,Espoonkeskus,Suviniitynkatu1,60.205267,24.663774,,720.0,32.0,22.5,1h,no_sauna
194,block of flats,Espoo,Espoonkeskus,Suviniitynkatu1,60.205267,24.663774,Available immediately,720.0,31.5,22.86,1h,no_sauna
195,block of flats,Espoo,Espoonkeskus,Suviniitynkatu1,60.205267,24.663774,Available immediately,720.0,32.0,22.5,1h,no_sauna
197,block of flats,Espoo,Karakallio,Karakalliontie1L,60.229283,24.777225,Available immediately,474.11,27.0,17.56,1h,no_sauna
198,block of flats,Espoo,Karakallio,Karakalliontie1L,60.229283,24.777225,Available immediately,477.79,27.0,17.7,1h,no_sauna
199,block of flats,Espoo,Karakallio,Karakalliontie1L,60.229283,24.777225,Available immediately,495.65,27.0,18.36,1h,no_sauna
200,block of flats,Espoo,Karakallio,Karakalliontie1L,60.229283,24.777225,Available immediately,495.65,28.0,17.7,1h,no_sauna
201,block of flats,Espoo,Karakallio,Karakalliontie1L,60.229283,24.777225,Available immediately,502.84,28.0,17.96,1h,no_sauna
202,block of flats,Espoo,Karakallio,Karakalliontie1L,60.229283,24.777225,Available immediately,506.51,28.0,18.09,1h,no_sauna
203,block of flats,Espoo,Karakallio,Karakalliontie1L,60.229283,24.777225,Available immediately,513.69,28.0,18.35,1h,no_sauna
204,block of flats,Espoo,Karakallio,Karakalliontie1L,60.229283,24.777225,Available immediately,535.24,30.5,17.55,1h,no_sauna
205,block of flats,Espoo,Kauklahti,Lasiportti2,60.184653,24.601151,Available from 12/1/21,714.0,30.0,23.8,1h,no_sauna
206,block of flats,Espoo,Kauklahti,Lasiportti2,60.184653,24.601151,Available immediately,679.0,28.0,24.25,1h,no_sauna
207,block of flats,Espoo,Kauklahti,Lasiportti2,60.184653,24.601151,Available immediately,695.0,28.0,24.82,1h,no_sauna
208,block of flats,Espoo,Kauklahti,Lasiportti2,60.184653,24.601151,Available immediately,698.0,28.0,24.93,1h,no_sauna
209,block of flats,Espoo,Kauklahti,Lasiportti2,60.184653,24.601151,Available immediately,699.0,28.0,24.96,1h,no_sauna
210,block of flats,Espoo,Kauklahti,Lasiportti2,60.184653,24.601151,Available immediately,705.0,30.0,23.5,1h,no_sauna
211,block of flats,Espoo,Kauklahti,Lasiportti2,60.184653,24.601151,Available immediately,718.0,28.0,25.64,1h,no_sauna
212,block of flats,Espoo,Kilo,Forstmestarinpiha2,60.220441,24.786413,Available immediately,791.0,31.5,25.11,1h,no_sauna
213,block of flats,Espoo,Kilo,Forstmestarinpiha2,60.220441,24.786413,Available immediately,799.0,31.5,25.37,1h,no_sauna
214,block of flats,Espoo,Kilo,Forstmestarinpiha2,60.220441,24.786413,Available immediately,801.0,33.5,23.91,1h,no_sauna
