,address,latitude,longitude
87,"Espoo , Niittykumpu , Niittykummuntie 12",60.172015,24.764398
88,"Espoo , Niittykumpu , Niittykummuntie 12",60.172015,24.764398
89,"Espoo , Niittykumpu , Niittykummuntie 12",60.172015,24.764398
90,"Espoo , Niittykumpu , Niittykummuntie 12",60.172015,24.764398
91,"Espoo , Niittykumpu , Niittykummuntie 12",60.172015,24.764398
92,"Espoo , Niittykumpu , Niittykummuntie 12",60.172015,24.764398
93,"Espoo , Niittykumpu , Niittykummuntie 12",60.172015,24.764398
94,"Espoo , Niittykumpu , Niittykummuntie 12",60.172015,24.764398
95,"Espoo , Niittykumpu , Niittykummuntie 12",60.172015,24.764398
96,"Espoo , Niittykumpu , Niittykummuntie 12",60.172015,24.764398
97,"Espoo , Niittykumpu , Niittykummuntie 12",60.172015,24.764398
98,"Espoo , Niittykumpu , Niittykummuntie 12",60.172015,24.764398
99,"Espoo , Niittykumpu , Niittykummuntie 12",60.172015,24.764398
100,"Espoo , Niittykumpu , Niittykummuntie 12",60.172015,24.764398
101,"Espoo , Niittykumpu , Niittykummuntie 12",60.172015,24.764398
102,"Espoo , Niittykumpu , Niittykummuntie 12",60.172015,24.764398
103,"Espoo , Niittykumpu , Niittykummuntie 12",60.172015,24.764398
104,"Espoo , Niittykumpu , Niittykummuntie 12",60.172015,24.764398
105,"Espoo , Niittykumpu , Niittykummuntie 12",60.172015,24.764398
106,"Espoo , Niittykumpu , Niittykummuntie 12",60.172015,24.764398
107,"Espoo , Niittykumpu , Niittykummuntie 12",60.172015,24.764398
108,"Espoo , Niittykumpu , Niittykummuntie 12",60.172015,24.764398
109,"Espoo , Niittykumpu , Niittykummuntie 12",60.172015,24.764398
110,"Espoo , Niittykumpu , Niittykummuntie 12",60.172015,24.764398
111,"Espoo , Niittykumpu , Niittykummuntie 12",60.172015,24.764398
112,"Espoo , Niittykumpu , Niittykummuntie 12",60.172015,24.764398
113,"Espoo , Niittykumpu , Niittykummuntie 12",60.172015,24.764398
114,"Espoo , Niittykumpu , Niittykummuntie 12",60.172015,24.764398
115,"Espoo , Niittykumpu , Niittykummuntie 12",60.172015,24.764398
116,"Espoo , Niittykumpu , Niittykummuntie 12",60.172015,24.764398
117,"Espoo , Niittykumpu , Niittykummuntie 12",60.172015,24.764398
118,"Espoo , Niittykumpu , Niittykummuntie 12",60.172015,24.764398
119,"Espoo , Niittykumpu , Niittykummuntie 12",60.172015,24.764398
120,"Espoo , Niittykumpu , Niittykummuntie 12",60.172015,24.764398
121,"Espoo , Niittykumpu , Niittykummuntie 12",60.172015,24.764398
122,"Espoo , Niittykumpu , Niittykummuntie 12",60.172015,24.764398
123,"Espoo , Niittykumpu , Niittykummuntie 12",60.172015,24.764398
124,"Espoo , Niittykumpu , Niittykummuntie 12",60.172015,24.764398
125,"Espoo , Niittykumpu , Niittykummuntie 12",60.172015,24.764398
126,"Espoo , Niittykumpu , Niittykummuntie 12",60.172015,24.764398
127,"Espoo , Niittykumpu , Niittykummuntie 12",60.172015,24.764398
128,"Espoo , Niittykumpu , Niittykummuntie 12",60.172015,24.764398
129,"Espoo , Niittykumpu , Niittykummuntie 12",60.172015,24.764398
130,"Espoo , Niittykumpu , Niittykummuntie 12",60.172015,24.764398
131,"Espoo , Niittykumpu , Niittykummuntie 12",60.172015,24.764398
132,"Espoo , Niittykumpu , Niittykummuntie 12",60.172015,24.764398
133,"Espoo , Niittykumpu , Niittykummuntie 12",60.172015,24.764398
134,"Espoo , Tapiola , Jousenpuistonkatu 9",60.175487,24.803185
135,"Espoo , Niittykumpu , Koivu-Mankkaan tie 1",60.172015,24.764398
136,"Espoo , Saunalahti , Saunalahdenkatu 2",60.168318,24.619744
137,"Espoo , Niittykumpu , Niittykummuntie 12",60.172015,24.764398
138,"Espoo , Niittykumpu , Niittykummuntie 12",60.172015,24.764398
139,"Espoo , Niittykumpu , Niittykummuntie 12",60.172015,24.764398
140,"Espoo , Niittykumpu , Niittykummuntie 12",60.172015,24.764398
141,"Espoo , Niittykumpu , Niittykummuntie 12",60.172015,24.764398
142,"Espoo , Niittykumpu , Niittykummuntie 12",60.172015,24.764398
143,"Espoo , Niittykumpu , Niittykummuntie 12",60.172015,24.764398
144,"Espoo , Niittykumpu , Niittykummuntie 12",60.172015,24.764398
145,"Espoo , Niittykumpu , Niittykummuntie 12",60.172015,24.764398
146,"Espoo , Niittykumpu , Niittykatu 15",60.172015,24.764398
147,"Espoo , Soukka , Soukanahde 4",60.140408,24.674304
148,"Espoo , Kivenlahti , Marinkallio 8",60.15724,24.641398
149,"Espoo , Olari , Kuunsäde 10 B",60.167557,24.735159
150,"Espoo , Leppävaara , Mestarinkatu 5 A 4",60.22063,24.809466
151,"Espoo , Kilo , Kilonkuja 3 A",60.218204,24.779676
152,"Espoo , Kivenlahti , Marinportti 5",60.15724,24.641398
153,"Espoo , Espoonlahti , Ruorimiehenkatu 3 B",60.147918,24.650946
154,"Espoo , Kilo , Lansantie 3 D",62.249279,24.444391
155,"Espoo , Leppävaara , Zanseninkuja 6 A",60.22063,24.809466
156,"Espoo , Soukka , Soukankaari 11 B",60.140563,24.668295
157,"Espoo , Kivenlahti , Marinportti 3",60.15724,24.641398
158,"Espoo , Kivenlahti , Aallonhuippu 4",60.15724,24.641398
159,"Espoo , Kilo , Nuijavuori 1",60.211466,24.767072
160,"Espoo , Niittykumpu , Niittykuja 2",62.965005,23.041112
161,"Espoo , Leppävaara , Kauppamiehentie 4 B",60.22063,24.809466
162,"Espoo , Olari , Kalliolähteentie 5 C",60.167557,24.735159
163,"Espoo , Tapiola , Mäntyviita 4 A",60.175487,24.803185
164,"Espoo , Espoonlahti , Näkinkaari 10 B, 02320 Espoo",60.144281,24.654521
165,"Espoo , Karhusuo , Pihkametsä 8",60.222295,24.649345
166,"Espoo , Kuninkainen , Herttuantie 4",60.282295,24.96276
167,"Espoo , Leppävaara , Porarinkatu 3",60.22063,24.809466
168,"Espoo , Kilo , Kutojantie 10",60.799492,25.730819
169,"Espoo , Espoonlahti , Puosunrinne 6",60.148876,24.646698
170,"Espoo , Kiltakallio , Valakuja2",60.20956,24.65104
171,"Espoo , Leppävaara , Runoratsunkatu 5 A",60.22063,24.809466
172,"Espoo , Matinkylä , Kala-Matti 3 A",60.158317,24.738457
173,"Espoo , Tapiola , Kaskenkaatajantie 5 C",60.175487,24.803185
174,"Espoo , Leppävaara , Rummunlyöjänkatu 11 D",60.22063,24.809466
175,"Espoo , Espoon keskus , Reviisorinkatu 8 A",60.205934,24.666958
176,"Espoo , Vermonniitty , Kaarlo Sarkian katu 10 B",60.214496,24.832756
177,"Espoo , Järvenperä , Viljatullintie 2-4",60.229262,24.697285
178,"Espoo , Järvenperä , Viljatullintie 2-4",60.229262,24.697285
179,"Espoo , Matinkylä , Matinkatu 22",60.15789,24.740306
180,"Espoo , Matinkylä , Matinkatu (Kaisankuja 1) 22",60.20956,24.65104
181,"Espoo , Matinkylä , Matinkallio 2",60.162204,24.747814
182,"Espoo , Vermonniitty , Kaarlo Sarkian katu 6",60.213965,24.834325
